probe_type,metric,comparison,column,n_datasets,mean_delta,median_delta,kmer_wins,fm_wins,raw_p,adjusted_p,significant
rf,MCC,NTv3_650M_pre,fm_NTv3_650M_pre_MCC,57,-0.026709403970390275,-0.02414228844560351,20,36,0.0059788793724831,0.0059788793724831,True
rf,MCC,hyenadna-medium-160k-seqlen-hf,fm_hyenadna-medium-160k-seqlen-hf_MCC,57,0.08670870241239466,0.07418234666195511,49,8,1.1388782585345007e-08,2.2777565170690014e-08,True
rf,MCC,DNABERT-2-117M,fm_DNABERT-2-117M_MCC,57,0.10844136102434387,0.0953842066171856,54,3,3.3708017733856774e-10,1.348320709354271e-09,True
rf,AUROC,NTv3_650M_pre,fm_NTv3_650M_pre_AUROC,57,-0.0002876381002652721,-0.0043358189353256416,27,30,0.9271986835493116,0.9271986835493116,False
rf,AUROC,hyenadna-medium-160k-seqlen-hf,fm_hyenadna-medium-160k-seqlen-hf_AUROC,57,0.05719763916660469,0.04503451894399635,53,4,6.516611752010234e-10,8.688815669346977e-10,True
rf,AUROC,DNABERT-2-117M,fm_DNABERT-2-117M_AUROC,57,0.07297387599345194,0.06759319588059087,53,4,1.5551427328918774e-10,3.110285465783755e-10,True
linear_probe,MCC,NTv3_650M_pre__pool_max,lp_fm_NTv3_650M_pre_MCC__pool_max,57,-0.03928493684914534,-0.026880555155827324,18,39,0.004619037938547752,0.0069285569078216275,True
linear_probe,MCC,hyenadna-medium-160k-seqlen-hf,lp_fm_hyenadna-medium-160k-seqlen-hf_MCC,57,-0.010680902510159436,-0.008942138400552913,23,34,0.13216553911004061,0.13216553911004061,False
linear_probe,MCC,DNABERT-2-117M,lp_fm_DNABERT-2-117M_MCC,57,0.10288259052883424,0.07851526483231153,53,4,2.0157115899383971e-10,6.047134769815192e-10,True
linear_probe,AUROC,NTv3_650M_pre__pool_max,lp_fm_NTv3_650M_pre_AUROC__pool_max,57,-0.020542954751220144,-0.01286986902455578,19,38,0.0023733169066942994,0.003559975360041449,True
linear_probe,AUROC,hyenadna-medium-160k-seqlen-hf,lp_fm_hyenadna-medium-160k-seqlen-hf_AUROC,57,-0.008065314150655131,-0.008270503863781586,20,37,0.04399795956964989,0.04399795956964989,True
linear_probe,AUROC,DNABERT-2-117M,lp_fm_DNABERT-2-117M_AUROC,57,0.05756862143123654,0.044432086020606665,52,5,3.7331241679903215e-10,1.1199372503970964e-09,True
