dataset,best_kmer_MCC,best_fm_MCC,best_kmer_AUROC,best_fm_AUROC,best_kmer_F1,best_fm_F1,best_kmer_Accuracy,best_fm_Accuracy
EMP/Yeast_H3,0.6599388038043943,0.7548902158556319,0.9111213023625174,0.9444018264840184,0.8298257276803328,0.8774423197253198,0.8300668151447661,0.8775055679287305
EMP/Yeast_H3K14ac,0.3976585207951492,0.5131740219570456,0.8298487065008597,0.8271539304438265,0.6619566037625517,0.7565575429117047,0.6960161371659103,0.7606656580937973
EMP/Yeast_H3K36me3,0.4596250565941954,0.5520223328286477,0.8173964585311126,0.8492533265542199,0.7180766382448587,0.7744692952961457,0.7298614429049212,0.7781175346392738
EMP/Yeast_H3K4me1,0.3697013732264936,0.4579032056688147,0.770539620828705,0.7898250404494623,0.6595002969170674,0.7279129565470994,0.6845538720538721,0.7323232323232324
EMP/Yeast_H3K4me2,0.2925228640029574,0.3277396382129183,0.7600229452536134,0.7369366523664174,0.6091953937263697,0.6487410067799411,0.666376969038566,0.6850624660510592
EMP/Yeast_H3K4me3,0.3821194250634468,0.3680509487028043,0.8117922501124667,0.7487677273351858,0.6448959540084898,0.6830092714725595,0.6778079710144927,0.6864130434782608
EMP/Yeast_H3K79me3,0.5818747758543935,0.6335808217713691,0.8710093840037343,0.8887258894415203,0.7864879317766964,0.8158955513056626,0.790453074433657,0.8176144244105409
EMP/Yeast_H3K9ac,0.433886777588675,0.5235595339824798,0.830232621840169,0.839200641072339,0.7060838092197828,0.7615017604383271,0.7160167966406719,0.7654469106178764
EMP/Yeast_H4,0.7081212245762214,0.8148623222454355,0.9208357185435104,0.9536631762387472,0.8539368048578821,0.9073008230045456,0.8561972152476603,0.9082401278246977
EMP/Yeast_H4ac,0.4288807189345976,0.4760383942206153,0.823161636240644,0.8113439613765223,0.6854996740352263,0.7378945365280323,0.7082803793137159,0.7401505523511585
deep4mc/A.thaliana_4mC,0.204710346441115,0.1919454364417682,0.6417977748676276,0.6309507299775319,0.6012415555574369,0.5956157230467582,0.6019774558124991,0.5958574683205027
deep4mc/C.elegans_4mC,0.2492864186727509,0.1874836237704671,0.6735255227493737,0.628655882277077,0.621077568428953,0.5937405529727418,0.6218198802131986,0.5937414143634265
deep4mc/D.melanogaster_4mC,0.2434085429787509,0.2026537280551684,0.6688073787121636,0.6402592067101482,0.6209795633747652,0.6011672071658161,0.6214206642066421,0.6012730627306273
deep4mc/E.coli_4mC,0.0,0.010385982373169,0.6965515806555638,0.6214618593377788,0.4545587804163002,0.4573966300180034,0.833378124160172,0.833378124160172
deep4mc/G.pickeringii_4mC,0.0228919456076237,0.0726505617048337,0.668225702263882,0.6545929770020851,0.4557316234369646,0.4698824652854121,0.8334465030555825,0.8340285187700068
deep4mc/G.subterraneus_4mC,0.0,0.0199660919190079,0.6767025879674735,0.6345266912463392,0.4545509149881872,0.4570778154847489,0.8333516866718056,0.833314979994861
enhancers/enhancer,0.5326700420873823,0.5300265019876657,0.8575999999999999,0.850875,0.7644110275689223,0.7649941248531213,0.765,0.765
enhancers/enhancer_strength,0.5363831291467198,0.5197416439608005,0.8753694444444443,0.8601666666666666,0.5957316773654032,0.5876367353624338,0.6975,0.69
genomic_benchmark/coding,0.7477382191867453,0.8681710417900512,0.9474391104,0.97852672,0.8736948179801178,0.9337351633030636,0.87372,0.93376
genomic_benchmark/enhancer_cohn,0.4082676478885972,0.478123220729566,0.7870252710405019,0.8179598988323159,0.7040539368062817,0.7390615950552819,0.7040875071963155,0.7390616004605642
genomic_benchmark/enhancer_ensembl,0.6914749372221595,0.6245442264098119,0.9358437451682022,0.8988291480427955,0.8437396591533199,0.8090257703548085,0.844107200516629,0.8097836616080077
genomic_benchmark/human_vs_worm,0.8817665011120253,0.904706574338526,0.9856814208,0.9905636288,0.9408797820592284,0.9522761343668836,0.94088,0.95228
genomic_benchmark/open_chromatin_region,0.353829560892561,0.3576398843866114,0.7441274266808624,0.743301001468921,0.6740334266007064,0.6755472067105228,0.6754119935912108,0.6771000228885329
genomic_benchmark/promoter_notata_251bps,0.7835145339749172,0.7502437008896053,0.9789033625036644,0.9464682560557888,0.8841021069647375,0.8693757776403748,0.8841044941332743,0.8693823334071287
genomic_benchmark/regulatory_region_type,0.8302014479728175,0.6277014191186208,0.971232488046906,0.8950126583348114,0.8848877588078553,0.7371928212372696,0.8861781574342003,0.7473879368599795
iDHS-EL/DNase_I,0.5968101769219415,0.6389314857477728,0.857947232947233,0.8472758472758473,0.7952069716775598,0.8187877869744253,0.8464052287581699,0.8594771241830066
iDNA_ABF/5mC,0.4741182736614529,0.4600748284171476,0.8165896159317212,0.7921206194232511,0.7248066572037999,0.7287501549624674,0.7292110874200426,0.7292110874200426
iDNA_ABF/6mA,0.5176495660077043,0.4538004517421886,0.8410126618085106,0.8025239812787422,0.7587461309646268,0.725828223538943,0.7587711325213597,0.7262315942555899
iPro-WAEL/Promoter_Arabidopsis_NonTATA,0.8053905478625556,0.8707534943573685,0.9609213781605576,0.9814974259227864,0.9026169501247828,0.9347589178547931,0.9026248941574936,0.934801016088061
iPro-WAEL/Promoter_Arabidopsis_TATA,0.7875570194300952,0.8136472308708954,0.9645856533036378,0.9696290109708818,0.8929268536494257,0.9067164202987138,0.9055597867479056,0.9154607768469156
iPro-WAEL/Promoter_B_amyloliquefaciens,0.6135288988226918,0.6289622340583804,0.8805909634801182,0.8934268168468102,0.8065918199327022,0.8144488948227266,0.8066037735849056,0.8144654088050315
iPro-WAEL/Promoter_GM12878,0.8756365952097087,0.8930911452803341,0.9786512396694216,0.9861590743801654,0.9378181735957916,0.946545447477084,0.9378181818181818,0.9465454545454546
iPro-WAEL/Promoter_HUVEC,0.9027624370358904,0.9170199829724496,0.9818549121691922,0.990466159352718,0.9510289089745014,0.9584129606236302,0.9510395707578806,0.9584171696847752
iPro-WAEL/Promoter_Hela-S3,0.8829151663096828,0.9089927146351158,0.9817394145030404,0.988331452457142,0.9410508479493986,0.9543528101359816,0.9410762942779292,0.9543596730245232
iPro-WAEL/Promoter_NHEK,0.7564960338958867,0.809728479210133,0.9407429888825488,0.966128729592794,0.8764620556271874,0.904567555123622,0.8767123287671232,0.9045988258317026
iPro-WAEL/Promoter_R_capsulatus,0.4064053451604786,0.3925980414606801,0.7897321935331767,0.786945536148753,0.7031414392059554,0.6942396770936514,0.7033070866141732,0.695748031496063
mouse/mouse_TFBS_1,0.5080456333865855,0.4977350282999436,0.8356422632051348,0.8235157242290301,0.7520187119806767,0.7446739595230971,0.7526748971193415,0.7460905349794239
mouse/mouse_TFBS_2,0.7037870446911748,0.7824600778603458,0.9388468579150238,0.9591054433785056,0.8490481851067946,0.8872586786814696,0.8490584688380368,0.8877576236840805
mouse/mouse_TFBS_3,0.7613526697459722,0.7302262775333672,0.960202341330949,0.9482700809696488,0.8798547410114268,0.8621855284679492,0.8799593082400814,0.8626653102746694
mouse/mouse_TFBS_4,0.6676825915302869,0.4864725645678073,0.8875717884919332,0.8087609345414144,0.8317171907362079,0.7357822785110297,0.8321678321678322,0.7384615384615385
mouse/mouse_TFBS_5,0.396824344731457,0.3736845519231785,0.7718782676795364,0.759304189834756,0.6980916206255017,0.6856508753886237,0.6982300884955752,0.6861946902654867
prom/promoter_all_300bps,0.7615961382717149,0.8163483946320028,0.948332479765496,0.9624411951370224,0.8804007960977009,0.9077817881507304,0.8804549805732305,0.9078213863393207
prom/promoter_all_70bps,0.5596850011280262,0.5991591479862485,0.8660280951917115,0.8794773184322965,0.7784880716416828,0.7994488962466528,0.7788726842727631,0.7994819528126583
prom/promoter_notata_300bps,0.8550715120202524,0.9082459354591892,0.9792976660942908,0.988710812226964,0.9257358185046908,0.9539488873675798,0.9258793969849246,0.9539572864321608
