dataset,ridge_k4_NTv3_650M_pre_R2,ridge_k4_NTv3_650M_pre_MSE,kmer_k4_MCC,kmer_k4_AUROC,kmer_k4_F1,kmer_k4_Accuracy,fm_NTv3_650M_pre_MCC,fm_NTv3_650M_pre_AUROC,fm_NTv3_650M_pre_F1,fm_NTv3_650M_pre_Accuracy,kmer_k5_MCC,kmer_k5_AUROC,kmer_k5_F1,kmer_k5_Accuracy,kmer_k6_MCC,kmer_k6_AUROC,kmer_k6_F1,kmer_k6_Accuracy,fm_hyenadna-medium-160k-seqlen-hf_MCC,fm_hyenadna-medium-160k-seqlen-hf_AUROC,fm_hyenadna-medium-160k-seqlen-hf_F1,fm_hyenadna-medium-160k-seqlen-hf_Accuracy,ridge_k4_hyenadna-medium-160k-seqlen-hf_R2,ridge_k4_hyenadna-medium-160k-seqlen-hf_MSE,ridge_k5_hyenadna-medium-160k-seqlen-hf_R2,ridge_k5_hyenadna-medium-160k-seqlen-hf_MSE,ridge_k6_hyenadna-medium-160k-seqlen-hf_R2,ridge_k6_hyenadna-medium-160k-seqlen-hf_MSE,ridge_k5_NTv3_650M_pre_R2,ridge_k5_NTv3_650M_pre_MSE,ridge_k6_NTv3_650M_pre_R2,ridge_k6_NTv3_650M_pre_MSE,n_train,n_test,n_classes,class_balance,seq_len_mean,seq_len_std,seq_len_min,seq_len_max,gc_content_mean,tok_NTv3_650M_pre_MCC,tok_NTv3_650M_pre_AUROC,tok_NTv3_650M_pre_F1,tok_NTv3_650M_pre_Accuracy,tok_hyenadna-medium-160k-seqlen-hf_MCC,tok_hyenadna-medium-160k-seqlen-hf_AUROC,tok_hyenadna-medium-160k-seqlen-hf_F1,tok_hyenadna-medium-160k-seqlen-hf_Accuracy,kmer_multi_k4_5_6_MCC,kmer_multi_k4_5_6_AUROC,kmer_multi_k4_5_6_F1,kmer_multi_k4_5_6_Accuracy,ridge_multi_k4_5_6_NTv3_650M_pre_R2,ridge_multi_k4_5_6_NTv3_650M_pre_MSE,ridge_multi_k4_5_6_hyenadna-medium-160k-seqlen-hf_R2,ridge_multi_k4_5_6_hyenadna-medium-160k-seqlen-hf_MSE,fm_DNABERT-2-117M_MCC,fm_DNABERT-2-117M_AUROC,fm_DNABERT-2-117M_F1,fm_DNABERT-2-117M_Accuracy,onehot_512bp_MCC,onehot_512bp_AUROC,onehot_512bp_F1,onehot_512bp_Accuracy,onehot_1024bp_MCC,onehot_1024bp_AUROC,onehot_1024bp_F1,onehot_1024bp_Accuracy,onehot_2048bp_MCC,onehot_2048bp_AUROC,onehot_2048bp_F1,onehot_2048bp_Accuracy
EMP/Yeast_H3,0.3697190284729004,99.78659057617188,0.6502389898680512,0.9111213023625174,0.8248500928187916,0.8251670378619154,0.7548902158556319,0.9444018264840184,0.8774423197253198,0.8775055679287305,0.6318674532287831,0.9018959698233076,0.8157460577126388,0.8160356347438753,0.6599388038043943,0.904206670637284,0.8298257276803328,0.8300668151447661,0.6436585652697211,0.8987361524717093,0.8203615130693754,0.8211581291759465,0.63623046875,0.001633153646253,0.652484655380249,0.0015649180859327,0.6518653035163879,0.0015802246052771,0.3936607837677002,96.77811431884766,0.4145350456237793,94.29983520507812,10475.0,4490.0,2.0,0.9519,500.0,2.3,290.0,500.0,0.3844,0.5131197926497486,0.8091872146118722,0.7516331255263566,0.7543429844097995,0.5160519778885696,0.810770299781616,0.7536834508074055,0.7561247216035635,0.6103227536309774,0.8995844748858448,0.8027968981736853,0.8040089086859689,0.4243373545551742,86.07902052144736,0.4243371924391004,86.07944963643082,0.6300758293706441,0.8902912447885647,0.8150377528062227,0.8151447661469933,-0.0171450886152742,0.4941371848322414,0.4912551464870306,0.4922048997772829,0.4110237807413849,0.7531262656343062,0.7015225120635005,0.7044543429844098,0.4412819486240339,0.774604725034743,0.7170881526413042,0.7195991091314031
EMP/Yeast_H3K14ac,0.378352552652359,93.73953247070312,0.3633473065783845,0.7592120191746439,0.6619566037625517,0.6912758446797781,0.5131740219570456,0.8271539304438265,0.7565575429117047,0.7606656580937973,0.3864247241018781,0.7911868390226688,0.6526601076923235,0.6960161371659103,0.3976585207951492,0.8228181115085008,0.6330929463240547,0.6921835602622289,0.2806214951602538,0.7048272321997113,0.6330506375601048,0.653857791225416,0.6133499145507812,0.0016196547076106,0.6354297399520874,0.001529796863906,0.6452277898788452,0.001493498799391,0.4013736248016357,90.45206451416016,0.4232700169086456,87.7040023803711,23133.0,9915.0,2.0,0.7606,500.0,1.6,290.0,500.0,0.3811,0.0477184505461863,0.5391174294382655,0.4893578976545768,0.5601613716591024,0.043664699857872,0.535311503393437,0.4894315216513089,0.5579425113464448,0.3760312874377186,0.772587855594528,0.6593329524452467,0.6949067070095815,0.4338100328925828,80.20493389899488,0.4338088611133513,80.20458040283025,0.3319182135282352,0.730884638395984,0.6591084831505784,0.6776601109430156,0.031569406392978,0.509314602491616,0.5124020175337716,0.534947049924357,0.0151087765804187,0.529998479387324,0.3669078293021517,0.5684316691880988,0.0252161372517463,0.522623922470974,0.3675843487541924,0.5690368129097327
EMP/Yeast_H3K36me3,0.3880302011966705,93.6833267211914,0.4178110054905303,0.7833218141366582,0.7059778863145578,0.7122790253225035,0.5520223328286477,0.8492533265542199,0.7744692952961457,0.7781175346392738,0.4437202686165719,0.798614503977948,0.7149401379307431,0.7240324892498805,0.4596250565941954,0.8173964585311126,0.7177243575293998,0.7298614429049212,0.3510467467975927,0.7389518325453055,0.6721059028233436,0.6797897754419494,0.6176653504371643,0.0016209644963964,0.6406227350234985,0.0015261014923453,0.6497713327407837,0.0014936024090275,0.4102843999862671,90.61666870117188,0.4334729611873626,87.3066177368164,24415.0,10465.0,2.0,0.8463,500.0,1.1,310.0,500.0,0.3814,0.0823228246548226,0.568900188146879,0.539802782241339,0.5479216435738175,0.0940302524711513,0.5684300967921465,0.5451055717988409,0.5542283803153368,0.4460077466711748,0.797345847623831,0.7180766382448587,0.7256569517439083,0.4439526599912743,80.16816373710124,0.4439551427959985,80.1684448364959,0.3925002766284089,0.7587381124611963,0.6956704661904489,0.6994744386048733,0.0218129279805451,0.5098461363393287,0.5097941868607228,0.5180124223602485,0.0612813744653874,0.5507924854233615,0.4227275330774958,0.5513616817964644,0.0393664149096571,0.5439409540395822,0.4102677679057044,0.5459149546106068
EMP/Yeast_H3K4me1,0.3817417621612549,93.15393829345705,0.3299346521568046,0.7277531975612456,0.6553141529098615,0.67003367003367,0.4579032056688147,0.7898250404494623,0.7279129565470994,0.7323232323232324,0.3495853630264314,0.7500860332382072,0.6579988086176656,0.6778198653198653,0.3697013732264936,0.770539620828705,0.6595002969170674,0.6845538720538721,0.2883595553577951,0.696974996339011,0.6379919260965401,0.6504629629629629,0.6133686304092407,0.0016691093333065,0.6359037160873413,0.0015744123375043,0.6451736688613892,0.0015403579454869,0.4039811193943023,90.06695556640625,0.4255402982234955,87.79573822021484,22173.0,9504.0,2.0,0.8346,500.0,1.6,290.0,500.0,0.382,0.1015573090422246,0.5732171877176502,0.5482702716837069,0.5593434343434344,0.0980350907790436,0.5737306414052483,0.5455652274782902,0.5583964646464646,0.3360834784283057,0.7429227281331814,0.6490794128002471,0.6710858585858586,0.4370682296530269,80.23932575133809,0.4370695483630376,80.23818408283113,0.3004060996199626,0.7036228610002893,0.6473818392071202,0.6558291245791246,0.0033314751975009,0.5020341704199244,0.4996930517151053,0.5112584175084175,0.0554628815548997,0.558959511249058,0.4132918176264596,0.5527146464646465,0.0565522014167621,0.5455222088085178,0.4118225192828506,0.5529250841750841
EMP/Yeast_H3K4me2,0.3796965777873993,92.78970336914062,0.2824098100137923,0.7137577169921949,0.6091953937263697,0.6660510592069527,0.3277396382129183,0.7369366523664174,0.6487410067799411,0.6850624660510592,0.2896240365970529,0.731294055849013,0.5895714368119462,0.666376969038566,0.2925228640029574,0.755549929612221,0.5522545806230188,0.6596414991852254,0.2662537329052003,0.6829658351893575,0.6121599322767368,0.6592069527430744,0.618223249912262,0.0015994558343663,0.6404998302459717,0.001508519751951,0.648087739944458,0.0014825420221313,0.4022888243198395,89.4922103881836,0.422222226858139,87.26455688476562,21478.0,9205.0,2.0,0.6912,500.0,1.6,290.0,500.0,0.3818,0.1863295151302954,0.6313198218881038,0.5876059029006298,0.6186854970124932,0.1806244293196357,0.6295864746071193,0.5845369624944093,0.6162954915806627,0.2821750957820748,0.724040300507419,0.596269725003618,0.6649646931015752,0.4319210379294998,80.69166007483085,0.4319210379294998,80.69166007483085,0.2314040008195934,0.6737833384757972,0.5736891555606471,0.645844649646931,0.0010217596979107,0.4980231060227579,0.4950275831986247,0.5354698533405757,0.0203085752702732,0.5894772590286868,0.3754989070341293,0.5918522542096687,0.0312090524709033,0.589471789361556,0.374404286285546,0.5921781640412819
EMP/Yeast_H3K4me3,0.3748781681060791,94.82418060302734,0.2671023546531975,0.6926387699913372,0.6157395438851525,0.6355072463768116,0.3680509487028043,0.7487677273351858,0.6830092714725595,0.6864130434782608,0.3223549350506919,0.7359162116881766,0.6317406076964759,0.657608695652174,0.3821194250634468,0.792659076464501,0.6448959540084898,0.6778079710144927,0.2014711558715121,0.647089415950433,0.5941961016750659,0.6056159420289855,0.6155552864074707,0.0016297163674607,0.6383172869682312,0.0015356588410213,0.647504448890686,0.0015025991015136,0.3986901044845581,91.24654388427734,0.4204743802547455,87.82159423828125,25759.0,11040.0,2.0,0.8771,500.0,1.5,290.0,500.0,0.3811,0.0483584387752901,0.5333947877986739,0.5196161807751235,0.5315217391304348,0.0500973468680744,0.5351228320796395,0.5210264283753417,0.5320652173913043,0.2997788366837894,0.7182282551077075,0.6251746760946301,0.6488224637681159,0.4308235491101159,81.01432853713679,0.4308235491101159,81.01432853713679,0.2127708709055569,0.6477904029188586,0.596362472319705,0.6110507246376812,0.0078761420266755,0.5080635419571584,0.5022287390029325,0.5097826086956522,0.0191577518915003,0.5197830565965237,0.4314241343816825,0.5313405797101449,0.0253775727446106,0.5289456233782384,0.432007640878701,0.5334239130434782
EMP/Yeast_H3K79me3,0.3877955377101898,93.4478988647461,0.5617634092419973,0.8564056422060189,0.7786707497407847,0.78166897827092,0.6335808217713691,0.8887258894415203,0.8158955513056626,0.8176144244105409,0.5733300037492575,0.8651960768533273,0.7830605371282557,0.786754507628294,0.5818747758543935,0.8710093840037343,0.7850023227225792,0.7897595931576514,0.5055766150645019,0.820788760656934,0.7511544101369763,0.7541608876560333,0.6158683896064758,0.001705513219349,0.6380413770675659,0.0016096086474135,0.6447353363037109,0.001585395890288,0.4079035818576813,90.37236785888672,0.4275358617305755,88.0279769897461,20185.0,8652.0,2.0,0.8802,500.0,1.2,310.0,500.0,0.3799,0.1906044492006434,0.6422287411270463,0.5929863616278617,0.5993989828941285,0.1836826311084446,0.639563340683868,0.5897268400432049,0.5959315765141008,0.5788114395608704,0.8641609928050606,0.7864879317766964,0.7897595931576514,0.4396553932718638,80.2152622682279,0.4396553932718638,80.2152622682279,0.5165480503327811,0.8241314297058177,0.7577448580889201,0.7597087378640777,0.0286238706065427,0.5168468888996196,0.5138322102313889,0.5181460933888118,0.0807600377150568,0.5603880760377935,0.4648007388638687,0.5507397133610726,0.0908685475096872,0.5689671157467768,0.4662866676401624,0.5539759593157652
EMP/Yeast_H3K9ac,0.6191460490226746,0.0016203726409003,0.3931747751902265,0.7775453340132585,0.694332521974355,0.7026994601079785,0.5235595339824798,0.839200641072339,0.7615017604383271,0.7654469106178764,0.4107064961888284,0.7967826327675384,0.6958172352419967,0.7107378524295141,0.433886777588675,0.8267735703358344,0.6897791415995569,0.7160167966406719,0.3813980991176015,0.7546028119763968,0.6904012549242474,0.6928614277144571,0.6191460490226746,0.0016203726409003,0.6394059658050537,0.0015368346357718,0.6453832983970642,0.0015179610345512,0.6394059658050537,0.0015368346357718,0.6453832983970642,0.0015179610345512,19447.0,8335.0,2.0,0.8023,500.0,1.3,290.0,500.0,0.3815,0.2125848519912841,0.6526050265899322,0.6059147994182653,0.60875824835033,0.2205191197595475,0.6552551030815181,0.6097232722494672,0.6122375524895021,0.4160982936238021,0.7789890872004079,0.7060838092197828,0.71373725254949,0.4346405594569766,79.50950929867524,0.4346405594569766,79.50950929867524,0.3726320654954728,0.7602695417789758,0.682122673111244,0.6931013797240552,-0.0037069143721033,0.4981345086326218,0.4962786997579552,0.5108578284343132,0.0668121822993978,0.5972249144022729,0.4150861271197456,0.563887222555489,0.0703319404960963,0.6074689007066365,0.405846315652455,0.564127174565087
EMP/Yeast_H4,0.6270288228988647,0.0016285676974803,0.7081212245762214,0.9208357185435104,0.8539368048578821,0.8561972152476603,0.8148623222454355,0.9536631762387472,0.9073008230045456,0.9082401278246977,0.6824589891710412,0.9162434501706376,0.8401897390223089,0.8436430038803926,0.6794565339985045,0.9171234449696126,0.8375255408839575,0.8418169367724264,0.6514773204899593,0.8976217132648082,0.8256376790353068,0.8274366582971924,0.6270288228988647,0.0016285676974803,0.6447699069976807,0.0015542679466307,0.6436280608177185,0.0015708249993622,0.6447699069976807,0.0015542679466307,0.6436280608177185,0.0015708249993622,10220.0,4381.0,2.0,0.7979,500.0,1.6,310.0,500.0,0.3786,0.2943698996912242,0.722528394555135,0.647017455135711,0.6503081488244693,0.3057587667725879,0.7237307093488419,0.6526696688322804,0.655786350148368,0.6733116005861987,0.9083435496317912,0.8364260051577836,0.8379365441679981,0.4390383019457959,82.54638155225932,0.4390383019457959,82.54638155225932,0.6834460272042501,0.9123965072079786,0.8405683124257348,0.8440995206573841,0.0277990510799672,0.5117013556437029,0.5119431188994192,0.526592102259758,0.0568168895218142,0.6540680076191634,0.4228466358841999,0.5628851860305866,0.0653371388035487,0.656339762002462,0.4121195634161655,0.5647112531385529
EMP/Yeast_H4ac,0.6141421794891357,0.0016265971353277,0.3557796212567258,0.7459935536737419,0.6690380565292993,0.6811027470916023,0.4760383942206153,0.8113439613765223,0.7378945365280323,0.7401505523511585,0.3864459445429409,0.7715162317393269,0.6777006016534545,0.693811711799785,0.4288807189345976,0.8118127732122649,0.6854996740352263,0.7082803793137159,0.2793311630119431,0.6969012018588725,0.6334318310107145,0.6448333170397889,0.6141421794891357,0.0016265971353277,0.6365740299224854,0.0015347237931564,0.6453511118888855,0.0015030594076961,0.6365740299224854,0.0015347237931564,0.6453511118888855,0.0015030594076961,23866.0,10229.0,2.0,0.852,500.0,1.2,290.0,500.0,0.3806,0.1431840227860627,0.5981490954759447,0.5661234073254129,0.5795287906931273,0.1494484995343604,0.6015531464872894,0.5691434612062278,0.582559389969694,0.3443420839698701,0.7477980848776806,0.6611872117162627,0.6752370710724411,0.4330752530013415,79.58449498948389,0.4330752530013415,79.58449498948389,0.3242398599832265,0.7186015148643554,0.6567213334041502,0.6664385570436993,0.0132859017165811,0.5048409775632849,0.5046619113923024,0.51461530941441,0.0705971081535166,0.5667752340230965,0.4410834330583212,0.5529377260729299,0.0706762704671435,0.5598437057903898,0.4347162354965953,0.5527422035389579
