dataset,biocat,gc_content_mean,seq_len_mean,n_train,n_test,n_classes,kmer_k4_MCC,kmer_k5_MCC,kmer_k6_MCC,kmer_k4_AUROC,kmer_k5_AUROC,kmer_k6_AUROC,best_k,delta_k6_k4
EMP/Yeast_H3,histone,0.3844,500.0,10475.0,4490.0,2.0,0.6502389898680512,0.6318674532287831,0.6599388038043943,0.9111213023625174,0.9018959698233076,0.904206670637284,6,0.009699813936343116
EMP/Yeast_H3K14ac,histone,0.3811,500.0,23133.0,9915.0,2.0,0.3633473065783845,0.3864247241018781,0.3976585207951492,0.7592120191746439,0.7911868390226688,0.8228181115085008,6,0.034311214216764696
EMP/Yeast_H3K36me3,histone,0.3814,500.0,24415.0,10465.0,2.0,0.4178110054905303,0.4437202686165719,0.4596250565941954,0.7833218141366582,0.798614503977948,0.8173964585311126,6,0.041814051103665095
EMP/Yeast_H3K4me1,histone,0.382,500.0,22173.0,9504.0,2.0,0.3299346521568046,0.3495853630264314,0.3697013732264936,0.7277531975612456,0.7500860332382072,0.770539620828705,6,0.03976672106968898
EMP/Yeast_H3K4me2,histone,0.3818,500.0,21478.0,9205.0,2.0,0.2824098100137923,0.2896240365970529,0.2925228640029574,0.7137577169921949,0.731294055849013,0.755549929612221,6,0.010113053989165122
EMP/Yeast_H3K4me3,histone,0.3811,500.0,25759.0,11040.0,2.0,0.2671023546531975,0.3223549350506919,0.3821194250634468,0.6926387699913372,0.7359162116881766,0.792659076464501,6,0.11501707041024933
EMP/Yeast_H3K79me3,histone,0.3799,500.0,20185.0,8652.0,2.0,0.5617634092419973,0.5733300037492575,0.5818747758543935,0.8564056422060189,0.8651960768533273,0.8710093840037343,6,0.02011136661239621
EMP/Yeast_H3K9ac,histone,0.3815,500.0,19447.0,8335.0,2.0,0.3931747751902265,0.4107064961888284,0.433886777588675,0.7775453340132585,0.7967826327675384,0.8267735703358344,6,0.04071200239844852
EMP/Yeast_H4,histone,0.3786,500.0,10220.0,4381.0,2.0,0.7081212245762214,0.6824589891710412,0.6794565339985045,0.9208357185435104,0.9162434501706376,0.9171234449696126,4,-0.028664690577716923
EMP/Yeast_H4ac,histone,0.3806,500.0,23866.0,10229.0,2.0,0.3557796212567258,0.3864459445429409,0.4288807189345976,0.7459935536737419,0.7715162317393269,0.8118127732122649,6,0.07310109767787182
deep4mc/A.thaliana_4mC,methylation,0.4282,41.0,156697.0,67157.0,2.0,0.1961400579652814,0.2021958359642879,0.1922746020527251,0.6363040471893684,0.641110985294677,0.6374613073889168,5,-0.003865455912556298
deep4mc/C.elegans_4mC,methylation,0.415,41.0,84926.0,36398.0,2.0,0.216222180831382,0.238212422449133,0.2492864186727509,0.64949669735022,0.6664435239639801,0.6735255227493737,6,0.03306423784136889
deep4mc/D.melanogaster_4mC,methylation,0.4617,41.0,126466.0,54200.0,2.0,0.2289306099976899,0.2372123246116766,0.2278619305122458,0.6589830108522488,0.6671457816478533,0.6614281041924811,5,-0.0010686794854441184
deep4mc/E.coli_4mC,methylation,0.506,41.0,8681.0,3721.0,2.0,0.0,0.0,0.0,0.6685262818445663,0.6928748270589092,0.6863134680800158,4,0.0
deep4mc/G.pickeringii_4mC,methylation,0.5803,41.0,24053.0,10309.0,2.0,0.0228919456076237,0.0,0.0,0.6592439308592295,0.6608807928919305,0.6676189677341896,4,-0.0228919456076237
deep4mc/G.subterraneus_4mC,methylation,0.5433,41.0,63567.0,27243.0,2.0,-0.0066371600682268,0.0,0.0,0.6595846849016247,0.6731172654509554,0.6708106557362735,5,0.0066371600682268
enhancers/enhancer,enhancer/generic,0.4401,199.3,14968.0,400.0,2.0,0.5083022996014029,0.5208746559314252,0.4697092511615889,0.8575999999999999,0.8575249999999999,0.8262,5,-0.03859304843981404
enhancers/enhancer_strength,enhancer/generic,0.4401,199.3,14968.0,400.0,3.0,0.473895749303635,0.4661662382004545,0.4287374326540295,0.8753694444444443,0.8545416666666666,0.7864416666666666,4,-0.04515831664960546
genomic_benchmark/coding,enhancer/generic,0.4697,200.0,75000.0,25000.0,2.0,0.7477382191867453,0.7159511643016548,0.6545025154855207,0.9474391104,0.9381893376,0.9144225984,4,-0.09323570370122458
genomic_benchmark/enhancer_cohn,enhancer/generic,0.4303,500.0,20843.0,6948.0,2.0,0.4082676478885972,0.3960654262495107,0.3769908999218447,0.7870252710405019,0.7792106607220213,0.7702378454770018,4,-0.031276747966752505
genomic_benchmark/enhancer_ensembl,enhancer/generic,0.434,268.9,123872.0,30970.0,2.0,0.6914749372221595,0.6799531158257769,0.618627944227811,0.9358437451682022,0.9237011996881792,0.8898803981771605,4,-0.07284699299434849
