dataset,ckmer_lp_k4_MCC,ckmer_lp_k4_AUROC,ckmer_lp_k4_F1,ckmer_lp_k4_Accuracy,ckmer_lp_k5_MCC,ckmer_lp_k5_AUROC,ckmer_lp_k5_F1,ckmer_lp_k5_Accuracy,ckmer_lp_k6_MCC,ckmer_lp_k6_AUROC,ckmer_lp_k6_F1,ckmer_lp_k6_Accuracy,ckmer_k4_MCC,ckmer_k4_AUROC,ckmer_k4_F1,ckmer_k4_Accuracy,ckmer_k5_MCC,ckmer_k5_AUROC,ckmer_k5_F1,ckmer_k5_Accuracy,ckmer_k6_MCC,ckmer_k6_AUROC,ckmer_k6_F1,ckmer_k6_Accuracy
iDHS-EL/DNase_I,0.6399817720101408,0.8724796224796224,0.8161899313501144,0.8627450980392157,0.6143331009421021,0.8669562419562419,0.803921568627451,0.8529411764705882,0.6095551548850041,0.8613792363792365,0.796647714686554,0.8529411764705882,0.6006853950595256,0.8777616902616904,0.798670119689228,0.8464052287581699,0.5792872529017808,0.8679483054483055,0.7864923747276689,0.8398692810457516,0.6160138334268093,0.8608429858429859,0.8056045740100233,0.8529411764705882
iPro-WAEL/Promoter_B_amyloliquefaciens,0.5974841528028341,0.8716315773859558,0.7987341772151899,0.7987421383647799,0.6166154871944975,0.8795229571907479,0.808107787274454,0.8081761006289309,0.5567830019623281,0.8732039199786399,0.7782355486862442,0.7783018867924528,0.600624001885673,0.8658119320035995,0.800310022324574,0.800314465408805,0.5544645152251655,0.866034433313885,0.7764620852845956,0.7767295597484277,0.5296967170303601,0.8640170881006299,0.7637561289683522,0.7641509433962265
iPro-WAEL/Promoter_Arabidopsis_TATA,0.7568478532236377,0.9513399117380188,0.8784140425247323,0.8903274942878904,0.7464873944347045,0.9572017033737524,0.8731683061122482,0.8865194211728865,0.7569206615021843,0.959127278726388,0.8784096288482075,0.8910891089108911,0.7398812007803848,0.9544860492452364,0.8695145042000983,0.8842345773038842,0.715375060163287,0.9589726140394292,0.8549481142150112,0.8743335872048743,0.6838808738192562,0.9575960983254967,0.8351671419545548,0.8606245239908606
iDNA_ABF/5mC,0.4258571911057665,0.7672535723522566,0.7128118798274935,0.7128642501776831,0.3830870600984561,0.756209184663132,0.6915421327427906,0.6915422885572139,0.3437574866488158,0.7339850316824001,0.6714384783039429,0.6716417910447762,0.5268917599400895,0.8201013513513513,0.7305459917671917,0.7412935323383084,0.4338531202395332,0.7900576264063106,0.7137726798854496,0.7149964463397299,0.3441903944646641,0.7314977208069313,0.6711752089192853,0.6716417910447762
deep4mc/E.coli_4mC,0.0366676914686668,0.651832915500723,0.4562357274505818,0.833646869121204,0.039844282346024,0.6672368954863674,0.4636871030169267,0.832571889277076,0.1235263414501106,0.6530947353091094,0.5112662156814729,0.8314969094329482,-0.0073311733990885,0.6475231715055496,0.4544788154229585,0.83310937919914,0.0,0.6707461692898233,0.4545587804163002,0.833378124160172,0.0,0.6734976230352332,0.4545587804163002,0.833378124160172
iPro-WAEL/Promoter_Arabidopsis_NonTATA,0.7833333496401922,0.951213621004572,0.8916109788625348,0.8916172734970365,0.7996985894847402,0.958215060040558,0.8997970311594654,0.899802427321479,0.7968445337225191,0.9618429220205644,0.8983876241116446,0.8983911939034717,0.7760488279248509,0.9544884156965814,0.8876154598021044,0.8876658199266159,0.7807634182483901,0.9542838406073268,0.8901823843469538,0.890206040079029,0.7762454866755156,0.9504692480941376,0.8879239243849374,0.8879480666102173
EMP/Yeast_H4,0.6920055862479462,0.9159926864812196,0.8459789795217344,0.8477516548733166,0.7136578573832442,0.9238887875702266,0.8568106836303797,0.8584797991326181,0.7311014510293342,0.9317034115682272,0.8654807527974995,0.8669253595069619,0.7046355344432378,0.922166581390126,0.852282033557203,0.8543711481396942,0.7066467280808826,0.9194345658748616,0.8531298159809684,0.855512440082173,0.6912718730912337,0.917992674660709,0.8447385740417759,0.8479799132618123
EMP/Yeast_H3,0.6518815547541638,0.904285288862418,0.8258339711790583,0.8260579064587973,0.668794565264842,0.9131945602541196,0.8343624146811799,0.8345211581291759,0.6866330137444704,0.9240752432003176,0.8432708689937081,0.8434298440979956,0.6732556916901479,0.918058368076236,0.8365825703732404,0.8367483296213808,0.6542007374694367,0.9070047647409172,0.8268870594370461,0.8271714922048998,0.6550012003041176,0.9047742703990472,0.8273977501303732,0.8276169265033407
enhancers/enhancer,0.4633482043145936,0.8076249999999998,0.7290244881573664,0.73,0.4793885149565663,0.8086249999999999,0.736298510086582,0.7375,0.4518336469549572,0.8064500000000001,0.7244419950399559,0.725,0.5424348469709033,0.861625,0.7659067024938488,0.7675,0.5500190982169268,0.86425,0.7679053457453517,0.77,0.4866576001814245,0.8447,0.7265507701940339,0.7325
iPro-WAEL/Promoter_R_capsulatus,0.2766885187015968,0.685110493882531,0.6351246110955948,0.6362204724409449,0.2960858515940282,0.6825290354537754,0.6444752536860358,0.6456692913385826,0.2848177210456509,0.6931148407664043,0.641363868448239,0.6415748031496064,0.3608408952271646,0.7298776029904276,0.675719565020052,0.6771653543307087,0.3641533736444229,0.7298525980886729,0.6757198828407318,0.6777952755905512,0.3178839566728633,0.7170754901953003,0.6576957380163477,0.6579527559055118
