dataset,proj_k4_hyenadna-medium-160k-seqlen-hf_MCC__pool_max__map_ridge,proj_k4_hyenadna-medium-160k-seqlen-hf_AUROC__pool_max__map_ridge,resid_k4_hyenadna-medium-160k-seqlen-hf_MCC__pool_max__map_ridge,resid_k4_hyenadna-medium-160k-seqlen-hf_AUROC__pool_max__map_ridge,ridge_k5_hyenadna-medium-160k-seqlen-hf_R2__pool_max__map_ridge,proj_k5_hyenadna-medium-160k-seqlen-hf_MCC__pool_max__map_ridge,proj_k5_hyenadna-medium-160k-seqlen-hf_AUROC__pool_max__map_ridge,resid_k5_hyenadna-medium-160k-seqlen-hf_MCC__pool_max__map_ridge,resid_k5_hyenadna-medium-160k-seqlen-hf_AUROC__pool_max__map_ridge,ridge_k6_hyenadna-medium-160k-seqlen-hf_R2__pool_max__map_ridge,proj_k6_hyenadna-medium-160k-seqlen-hf_MCC__pool_max__map_ridge,proj_k6_hyenadna-medium-160k-seqlen-hf_AUROC__pool_max__map_ridge,resid_k6_hyenadna-medium-160k-seqlen-hf_MCC__pool_max__map_ridge,resid_k6_hyenadna-medium-160k-seqlen-hf_AUROC__pool_max__map_ridge,ridge_k4_hyenadna-medium-160k-seqlen-hf_R2__pool_max__map_ridge
EMP/Yeast_H3K4me1,0.3313757203816971,0.7186502380535683,0.4116582355898215,0.7547998689187403,0.4039823114871979,0.3354122900353088,0.7245725572275064,0.4017326918233236,0.7530882673343358,0.4255408346652984,0.3495845628905953,0.7306268059390169,0.4028131131880834,0.7493812482364749,
EMP/Yeast_H3K4me2,0.2937113311788681,0.7077444040177441,0.2263699187875126,0.6917353720345492,0.4022888243198395,0.3000179217159345,0.7112767834215952,0.2229821875061094,0.6883931123998037,0.422222226858139,0.3043030373576679,0.713607349982414,0.2194632753107961,0.68227988032759,0.3796965777873993
EMP/Yeast_H3K4me3,0.2667859451443669,0.6777154403586094,0.2919655313590769,0.6990836114830156,0.3986901044845581,0.2750027804993689,0.687928993197414,0.278995415278017,0.6937235397442439,0.4204743802547455,0.2878571868607194,0.6984246481362162,0.2744728977728751,0.6892254301645029,0.3748781681060791
EMP/Yeast_H3K79me3,0.5837804732454739,0.8636781109662466,0.5608421909366431,0.8535268079900848,0.4079035818576813,0.6068255434156757,0.8699824552931897,0.5505517825819519,0.8498787430049201,0.4275358617305755,0.6110338472401831,0.8725804668930845,0.5580764564383736,0.8516227512461034,0.3877955377101898
EMP/Yeast_H3K9ac,0.4188601030623802,0.7842438988854084,0.3929859650626355,0.7624307131929774,0.4023917913436889,0.4417480141022908,0.79555124936257,0.3799925988080563,0.7587579514824798,0.4230663776397705,0.4568283943597354,0.8019539884898376,0.3813318463995587,0.7555508414074452,0.3823922872543335
EMP/Yeast_H4,0.7494130910955659,0.9321836198118512,0.7437287875487154,0.925788512490058,0.4111768007278442,0.7712667753139808,0.9383308130316064,0.7415618810689705,0.9212165078496634,0.4272028505802154,0.7849137182189186,0.9437850288167162,0.7396058118093011,0.9251588592194072,0.3890562951564789
EMP/Yeast_H4ac,0.3681779660178845,0.7463100834211899,0.3851268520580556,0.7532340321765358,0.4005146920681,0.3883432475168442,0.7566680355895321,0.3677392522505852,0.7437226730023403,0.4211354255676269,0.3951993399947583,0.7646300264727675,0.3671810149580028,0.7374285903580275,0.3782837092876434
deep4mc/A.thaliana_4mC,0.1753366822540707,0.6215416464875678,0.1780261987512528,0.6242842726915486,0.6010809540748596,0.1815676370825565,0.6222613420335796,0.1674633071213306,0.6194913361655814,0.6307344436645508,0.1803669519633443,0.6225640163213981,0.169102263483353,0.6188535091054017,0.5551161766052246
deep4mc/C.elegans_4mC,0.1775514071849002,0.6226259931274116,0.1984991657380675,0.6348647700844291,0.6017594933509827,0.1833118186777438,0.6281477356280314,0.1824269696115663,0.624897520362407,0.6256453990936279,0.1927599463180465,0.63108333776842,0.1713855278985061,0.61592718914913,0.5551877617835999
deep4mc/D.melanogaster_4mC,0.1958822354788954,0.6337714083413897,0.1988372283929707,0.6403424435941777,0.5986576676368713,0.1959801304852883,0.636153502811781,0.1960038143345812,0.6347104001851827,0.6275141835212708,0.2008635523519547,0.6375451069566046,0.187804927292708,0.6317416987786113,0.5517577528953552
deep4mc/E.coli_4mC,0.0464413208969013,0.6386415412301963,0.0366676914686668,0.5757123092446765,0.5203463435173035,0.0590840786933419,0.6515364450593462,0.0366676914686668,0.579698536372242,0.4797632992267608,0.0489148969970345,0.6584358843661253,0.0207468396045388,0.5607748801115146,0.5259419679641724
deep4mc/G.pickeringii_4mC,0.1018297994699111,0.6489708413751349,0.0220253630040796,0.6015707479563108,0.5580090880393982,0.0742444158806381,0.6545338957614494,0.0220253630040796,0.5862313065802816,0.5399875640869141,0.0821288086717264,0.660615266077652,0.0220253630040796,0.5933438884589539,0.5251212120056152
deep4mc/G.subterraneus_4mC,0.0351725111623747,0.629892913296599,0.0140808347163481,0.5876679536035234,0.5607876181602478,0.0212605811146355,0.6317425203950419,0.0189692540568798,0.5832222681665429,0.5771169066429138,0.0352500084393451,0.6332921807186109,0.0191609559681891,0.5697823901477439,0.5195181965827942
enhancers/enhancer,0.5474760851635713,0.845575,0.4901803955112009,0.84245,0.2145429104566574,0.5422003763459488,0.83865,0.4882392272301128,0.8397,0.2236543893814087,0.5374306524082764,0.82895,0.5120781332156182,0.8404,0.204445481300354
enhancers/enhancer_strength,0.4954005574717477,0.8538305555555556,0.5001616698743502,0.8517861111111111,0.2145429104566574,0.5035731953918287,0.8468055555555556,0.5018079033674189,0.8523388888888889,0.2236543893814087,0.4915797602432525,0.8433916666666667,0.4731438273005385,0.8477222222222224,0.204445481300354
genomic_benchmark/coding,0.7949203855252129,0.9607213696,0.8428995607780546,0.9711348096,0.3118846118450165,0.8004904922577426,0.9634305216,0.835081246565417,0.9691262272000002,0.3394040167331695,0.8128020391603138,0.966051232,0.8397560909020636,0.97097376,0.2715656757354736
genomic_benchmark/enhancer_cohn,0.4505010146423506,0.8029597447143333,0.4420794895929991,0.7978831315050632,0.4580268561840057,0.4556761525123576,0.806277590018988,0.4328715428073316,0.7913211855219247,0.5183491706848145,0.4550959152322293,0.8050611351236872,0.4139376231779713,0.7860323700793691,0.3931269645690918
genomic_benchmark/enhancer_ensembl,0.6700998201958746,0.9246189376347104,0.6217237124801905,0.8937398603270907,0.4201163947582245,0.6794381797921106,0.928521142201318,0.6181758960710093,0.8907014871329124,0.446952223777771,0.6838193755640494,0.9304691688155516,0.6134422885094992,0.8872822063994977,0.3697631061077118
genomic_benchmark/human_vs_worm,0.9066295090057984,0.9906894912,0.8680978204263115,0.9841746368,0.5419023633003235,0.9102393035027322,0.9917697472,0.8630622658407853,0.9822228032,0.5418110489845276,0.9203019199962362,0.9929155648,0.872633257422534,0.984232992,0.5174064040184021
genomic_benchmark/open_chromatin_region,0.3504237987343704,0.7388110619980626,0.3306703415123714,0.7237394784914062,0.4322185516357422,0.3565999044520134,0.7419120859128335,0.3222492178231326,0.7187310304539029,0.4630684852600097,0.3561323163628191,0.7432592805823464,0.3045998655894762,0.7103660090670861,0.3817155361175537
genomic_benchmark/promoter_notata_251bps,0.7554238490201473,0.9474887607412934,0.7315976188119081,0.9365815118238509,0.3737974166870117,0.767029997074143,0.9543081128887618,0.7212279317489202,0.9343572956823416,0.4218715131282806,0.7835867609501214,0.9648266216380088,0.7387372969041339,0.944838511060942,0.3217902481555938
genomic_benchmark/regulatory_region_type,0.546512711919779,0.8655760793487494,0.444699291788309,0.8083678339528789,0.409698337316513,0.5428112667634314,0.8619202512688954,0.4250401529609852,0.7995099614949184,0.4470568597316742,0.536130629637654,0.8574504711521346,0.4144075491126128,0.7919134680323839,0.3573738634586334
iDHS-EL/DNase_I,0.6124769388895217,0.8422619047619048,0.6350487771661276,0.8447554697554697,0.1216417178511619,0.6147974177060035,0.8499570999571,0.6294255682348096,0.8464714714714715,0.1787268966436386,0.5936268391650235,0.834432646932647,0.4804318913679374,0.8238416988416988,0.1509781926870346
iDNA_ABF/5mC,0.4258780741229287,0.796939657959395,0.3262336686398332,0.7229244795034269,0.5470266342163086,0.4244119519898656,0.7797547846889952,0.3339281494504124,0.7365087126600285,0.5136587619781494,0.390755161072996,0.7694479018492175,0.3678252278327936,0.7511315142894089,0.5279426574707031
iDNA_ABF/6mA,0.4540482209394467,0.801449429911456,0.3827773264730637,0.7573440482025032,0.5894364714622498,0.4521871746364197,0.8014086513529411,0.3555740517403824,0.7471848667530859,0.6011942625045776,0.4682230852714155,0.8110953104294203,0.3639553885351871,0.7562900513436419,0.53804612159729
iPro-WAEL/Promoter_Arabidopsis_NonTATA,0.8380132909596407,0.9723546401581538,0.8202011661148781,0.9700931613288076,0.2114252001047134,0.845420505655216,0.9744953495812264,0.8264814623690556,0.9710465704675146,0.1907214969396591,0.830686290238118,0.9749712575186126,0.8373329360128567,0.9728902954931024,0.2106862068176269
iPro-WAEL/Promoter_Arabidopsis_TATA,0.8480384634422802,0.9732339870494102,0.765128310385732,0.957464633341582,0.1737639904022216,0.841679064745221,0.9754895137342242,0.7834372865441027,0.9592613214550854,0.1370642781257629,0.8353834115912652,0.9765824775220656,0.7771342634396374,0.9601403324259672,0.1925396919250488
iPro-WAEL/Promoter_B_amyloliquefaciens,0.6135288988226918,0.8842449294423623,0.529438247008883,0.8516855710372516,0.458871454000473,0.6290969300362538,0.8863562196532935,0.5535797331071582,0.8608625139681378,0.345017671585083,0.6195319492579959,0.8858716612442272,0.5786121851606459,0.8662866014655419,0.5087506175041199
