dataset,lp_kmer_k4_MCC,lp_kmer_k4_AUROC,lp_kmer_k4_F1,lp_kmer_k4_Accuracy,lp_kmer_k5_MCC,lp_kmer_k5_AUROC,lp_kmer_k5_F1,lp_kmer_k5_Accuracy,lp_kmer_k6_MCC,lp_kmer_k6_AUROC,lp_kmer_k6_F1,lp_kmer_k6_Accuracy,lp_fm_NTv3_650M_pre_MCC__pool_max,lp_fm_NTv3_650M_pre_AUROC__pool_max,lp_fm_NTv3_650M_pre_F1__pool_max,lp_fm_NTv3_650M_pre_Accuracy__pool_max,lp_fm_hyenadna-medium-160k-seqlen-hf_MCC,lp_fm_hyenadna-medium-160k-seqlen-hf_AUROC,lp_fm_hyenadna-medium-160k-seqlen-hf_F1,lp_fm_hyenadna-medium-160k-seqlen-hf_Accuracy,lp_fm_DNABERT-2-117M_MCC,lp_fm_DNABERT-2-117M_AUROC,lp_fm_DNABERT-2-117M_F1,lp_fm_DNABERT-2-117M_Accuracy,lp_fm_NTv3_650M_pre_MCC__pool_cls,lp_fm_NTv3_650M_pre_AUROC__pool_cls,lp_fm_NTv3_650M_pre_F1__pool_cls,lp_fm_NTv3_650M_pre_Accuracy__pool_cls,lp_fm_DNABERT-2-117M_MCC__pool_max,lp_fm_DNABERT-2-117M_AUROC__pool_max,lp_fm_DNABERT-2-117M_F1__pool_max,lp_fm_DNABERT-2-117M_Accuracy__pool_max,lp_fm_hyenadna-medium-160k-seqlen-hf_MCC__pool_max,lp_fm_hyenadna-medium-160k-seqlen-hf_AUROC__pool_max,lp_fm_hyenadna-medium-160k-seqlen-hf_F1__pool_max,lp_fm_hyenadna-medium-160k-seqlen-hf_Accuracy__pool_max,lp_fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,lp_fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_AUROC,lp_fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_F1,lp_fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_Accuracy,lp_fm_evo2_1b_base_MCC,lp_fm_evo2_1b_base_AUROC,lp_fm_evo2_1b_base_F1,lp_fm_evo2_1b_base_Accuracy
EMP/Yeast_H3,0.6616656513308365,0.90536489974191,0.8307762979857826,0.8309576837416481,0.6648022444126576,0.9116910859638672,0.8323969879428365,0.8325167037861916,0.6728216281960726,0.9183210244192972,0.8364048317972863,0.8365256124721604,0.734361723247965,0.9331463172523328,0.8671808616239826,0.867260579064588,0.7887386731459849,0.955084772682152,0.8943293364117078,0.8944320712694878,0.6527809568952593,0.902760174707167,0.8263894524585078,0.8265033407572383,0.4425047333140391,0.7944838197339686,0.7211235464539429,0.7211581291759466,0.5715956641530262,0.8673055390113162,0.7857693714481928,0.7859688195991091,0.5715877470207332,0.8594860035735558,0.7857000850119388,0.7859688195991091,0.7200697720275139,0.934001786777844,0.8600013822512583,0.8601336302895323,0.5164147296437951,0.8296843359142346,0.7578068530968671,0.7583518930957683
EMP/Yeast_H3K14ac,0.3398975772725472,0.7335239046282342,0.6677267906303086,0.6799798285426122,0.3493836755122649,0.7472130668552204,0.6737967962640056,0.6834089762985376,0.3824947450476684,0.7608109011180566,0.691162523110822,0.697831568330812,0.535919906258213,0.8405422037176574,0.7678556963071645,0.7714573877962683,0.5441470978377152,0.8509414449700718,0.772071725879965,0.7761976802824004,0.3520059424128624,0.7363266740337062,0.6745703113329165,0.6852244074634393,0.3585802791801283,0.7445437863487785,0.6788147821636574,0.6872415532022189,0.2876702876497822,0.7055757235264153,0.6410864139136734,0.6553706505295007,0.2489811178584052,0.6798361204046655,0.6196697986469524,0.638224911749874,0.3587887055263861,0.7465056586027211,0.6790207160286794,0.6871406959152799,0.1244944532421796,0.6033218588155074,0.5236527405543714,0.5904185577407968
EMP/Yeast_H3K36me3,0.3984789745256728,0.7650031652045526,0.6986375439725678,0.7024366937410416,0.4183290441750334,0.7746326913624708,0.708862828713575,0.7119923554706163,0.4263183407357774,0.7823575779322203,0.71296342204738,0.7158146201624462,0.5908483387396121,0.861769676678364,0.7946964385464803,0.797324414715719,0.5937507957943033,0.8704141129137256,0.7962149008618279,0.7987577639751553,0.4194449973573987,0.7747207036154831,0.7096061644515762,0.7122790253225035,0.4350561056013465,0.7787416461917727,0.7168727405697572,0.7204968944099379,0.3556288165821373,0.7387945653518747,0.6776712102371437,0.6807453416149069,0.2941205690478212,0.7000681074342365,0.6445329739509984,0.6519827998088867,0.4296888694167441,0.7800445438361339,0.7144017219851476,0.7177257525083612,0.1369380844485753,0.5966256109550944,0.5531987491388328,0.579168657429527
EMP/Yeast_H4,0.6952969045605618,0.915816223144222,0.847617969512843,0.8493494635927871,0.7124657163896908,0.9222805648853156,0.8562321278207707,0.8580232823556265,0.7162266491464719,0.9268173190744204,0.8581103976719828,0.8598493494635928,0.8122946339700711,0.9534394308593006,0.9060813343007524,0.9070988358822186,0.8269458783500968,0.9613870356016893,0.9134320430670152,0.9144031043140836,0.7174473317592909,0.92317195803381,0.8587232535561427,0.8605341246290801,0.55725593386862,0.8414880080919839,0.7783018815871512,0.7801871718785666,0.6448184001489338,0.8947178781845723,0.8221540695517611,0.8251540744122347,0.6053218645358923,0.8768824163150066,0.8026250581927945,0.8048390778361105,0.7587613552380338,0.9403499040005672,0.8792126897696646,0.8803926044282128,0.3633333678838686,0.7540025093255385,0.6814561141318749,0.6868294909837936
EMP/Yeast_H3K79me3,0.5522681261194585,0.8465027551091582,0.7753549132434294,0.7773925104022191,0.5652854091048871,0.8535088340549734,0.7821754025434169,0.7838650023116043,0.5672609242318832,0.8556317435790131,0.7834677918833688,0.7847896440129449,0.6282025214337492,0.8873099725830422,0.81391542475412,0.8150716597318539,0.6561858132006869,0.8985073585826882,0.8280178020732696,0.8289412852519649,0.5500075323928776,0.8420402830760645,0.7748044379718241,0.7762367082755433,0.4620226284246988,0.7936032642812304,0.7292100309089365,0.7326629680998613,0.4806546399864092,0.8061889892210043,0.7401314147793763,0.741793804900601,0.4406450065043497,0.7873887359763068,0.7186230317932556,0.7221451687471105,0.5624996630488802,0.8537736142632564,0.7806399151608032,0.7824780397595932,0.221292440021645,0.6400699105595526,0.6052181790405067,0.6148867313915858
EMP/Yeast_H3K9ac,0.4036702680994206,0.772534887448095,0.701681024636571,0.7062987402519496,0.4067914826691573,0.7818890653456692,0.7033136686060304,0.7076184763047391,0.4254699863393736,0.791304669629198,0.7127173783464753,0.716496700659868,0.5069621627391054,0.8338830042980987,0.7532061694970515,0.7572885422915417,0.5381752118893675,0.8441562468128506,0.7687923238610912,0.7726454709058188,0.4103378492104783,0.771477642602171,0.7051041226464696,0.7092981403719256,0.3660794702647718,0.742938209368398,0.6824660137321006,0.6885422915416917,0.313730414209158,0.7223973191520361,0.6560504611047777,0.6632273545290942,0.3628022311214322,0.7450638886865302,0.6812659759064211,0.6861427714457109,0.4562939877333086,0.7951460333649012,0.728130761192707,0.7311337732453509,0.302809436994364,0.7134711444598236,0.6512349350273476,0.656748650269946
EMP/Yeast_H3K4me2,0.2726606010358738,0.6909266426802227,0.6246471336098696,0.6604019554589897,0.2604079423503116,0.6904281704266233,0.6238640300377107,0.6527973927213471,0.2652358879755765,0.6871994063848401,0.6305493664318012,0.6513851167843563,0.3019883976831594,0.717817870437846,0.6462385842131046,0.6708310700706138,0.3480073414875193,0.7423017121132518,0.6705618461888119,0.691254752851711,0.2610136084866417,0.6827383068039826,0.6198181623921175,0.6549701249321022,0.1670568006027497,0.6352194992070448,0.5699902930291816,0.6152091254752852,0.221996811813695,0.6520378954166436,0.5976870620018405,0.6387832699619772,0.2279140615365986,0.6626766910037553,0.5969834009007355,0.642368278109723,0.2848220284238703,0.6981781515513881,0.6312803136803186,0.6656165127648017,0.2414710033984236,0.6726321688900375,0.604805443869206,0.6479087452471483
EMP/Yeast_H4ac,0.3218633500543824,0.7243791927110206,0.6602560946151845,0.6644833317039789,0.3507484183047079,0.7374543298014508,0.6749994505749546,0.6784631928829797,0.3590701672044425,0.7480483230541,0.6793748207081801,0.6822758822954346,0.4681151800811253,0.8102801798052098,0.734040545911084,0.7359468178707596,0.4945967489679993,0.8283706224382233,0.7472330556701368,0.7492423501808584,0.3324297765216364,0.7224325366879407,0.6654375985283947,0.669762440121224,0.3135047778260821,0.7140817609380515,0.6559273503257378,0.660475119757552,0.2520380789975228,0.6782572265314949,0.6245849808975805,0.630657933326816,0.2414995657892812,0.6655545226433615,0.6189963581888465,0.6256721087105289,0.3566677418391889,0.7376426625003395,0.6775785603527551,0.6816893146935185,0.2006769817559852,0.6430080783377845,0.5987136948958809,0.6056310489783948
EMP/Yeast_H3K4me1,0.3123472311713434,0.7064029802235168,0.6521142388151684,0.6618265993265994,0.3181194015526919,0.7156067955096632,0.6565547961542895,0.6643518518518519,0.3157962181033638,0.7126581815064701,0.656749636627907,0.6626683501683501,0.5212112000138399,0.8102607249115112,0.7599145309273599,0.7633627946127947,0.5047138903153348,0.8190333917900986,0.7515986529474359,0.7552609427609428,0.3207528136684293,0.7144249211548008,0.6585969811121941,0.6654040404040404,0.324244366000437,0.7012049117969562,0.6616470751333313,0.6662457912457912,0.2833488334085448,0.688029861168159,0.6397926591673055,0.6472011784511784,0.2427339520699561,0.6652408305622921,0.6132227735146452,0.6288930976430976,0.3374964511058785,0.7252533672168271,0.66600424659258,0.6738215488215489,0.1234397282938941,0.5807898538818983,0.5390924462505343,0.5754419191919192
EMP/Yeast_H3K4me3,0.2131569312592608,0.6506885496244094,0.6045233755242823,0.6105072463768116,0.2305406446709335,0.6676421969764812,0.6139185813796735,0.61875,0.2867279862772258,0.6937594658207713,0.6426663855270561,0.6461050724637681,0.395032442861797,0.762000290111308,0.6974974817307202,0.6990036231884058,0.3996941337232638,0.7771161703303409,0.6996030590105189,0.7017210144927536,0.2200801082505253,0.6493273798001646,0.6078395158182617,0.6139492753623188,0.2262278880223484,0.6549048207817785,0.6106784771484692,0.6170289855072464,0.1699646700911419,0.6164570632792353,0.582144089303015,0.5896739130434783,0.1578464985124366,0.6142065417825708,0.5760324407960178,0.583786231884058,0.240052443256905,0.6705723805135775,0.618388783693095,0.6235507246376811,0.1274768841054105,0.5818268304443109,0.5546294364328196,0.5706521739130435
