dataset,pca_fm_NTv3_650M_pre_MCC,pca_fm_NTv3_650M_pre_AUROC,pca_fm_NTv3_650M_pre_F1,pca_fm_NTv3_650M_pre_Accuracy,pca_kmer_k4_MCC,pca_kmer_k4_AUROC,pca_kmer_k4_F1,pca_kmer_k4_Accuracy,pca_kmer_k5_MCC,pca_kmer_k5_AUROC,pca_kmer_k5_F1,pca_kmer_k5_Accuracy,pca_kmer_k6_MCC,pca_kmer_k6_AUROC,pca_kmer_k6_F1,pca_kmer_k6_Accuracy,pca_kmer_k7_MCC,pca_kmer_k7_AUROC,pca_kmer_k7_F1,pca_kmer_k7_Accuracy,pca_kmer_k8_MCC,pca_kmer_k8_AUROC,pca_kmer_k8_F1,pca_kmer_k8_Accuracy,pca_fm_hyenadna-medium-160k-seqlen-hf_MCC,pca_fm_hyenadna-medium-160k-seqlen-hf_AUROC,pca_fm_hyenadna-medium-160k-seqlen-hf_F1,pca_fm_hyenadna-medium-160k-seqlen-hf_Accuracy,pca_fm_DNABERT-2-117M_MCC,pca_fm_DNABERT-2-117M_AUROC,pca_fm_DNABERT-2-117M_F1,pca_fm_DNABERT-2-117M_Accuracy
EMP/Yeast_H3,0.7360858800675404,0.9378002779432202,0.86765284451917,0.8679287305122494,0.6643112579375479,0.9104732975977764,0.8303185310379555,0.8311804008908686,0.6736478249606999,0.9096150486400636,0.8347201672101475,0.8356347438752784,0.6798982856945542,0.9097002183839588,0.8384963216311444,0.8391982182628063,0.3501391446413761,0.8725338495135995,0.5576506951508584,0.6118040089086859,0.2763868038764799,0.8262406194163192,0.4969309341601317,0.5728285077951002,0.6353288548081114,0.9001016478062339,0.816060972320485,0.8169265033407572,0.6135374898106826,0.8827242406194162,0.8067638965188135,0.8069042316258352
EMP/Yeast_H3K14ac,0.5031173296339098,0.8191515196840575,0.7515558199295461,0.7560262228946041,0.3482483442653183,0.7402652598539681,0.6634060157367225,0.6854261220373172,0.3260349986221768,0.748222732114809,0.6296851296908752,0.6725163893091276,0.320924074538819,0.7590097130171078,0.6124732919902027,0.6671709531013615,0.4126800182124664,0.7718991855353088,0.7057726619804741,0.713666162380232,0.4088427714474834,0.7824139651608897,0.6774410992040746,0.6785678265254664,0.281847994094239,0.7061960738012862,0.6313341417460411,0.6548663640948058,0.3001691277160669,0.727254984027763,0.616025201221676,0.6615229450327786
EMP/Yeast_H3K36me3,0.5371065737962755,0.8456282000526971,0.7644389226823325,0.770090778786431,0.4155138811031141,0.7808893217046823,0.7066551042309972,0.7110367892976589,0.4357895386514023,0.7875754945052842,0.7152988050593626,0.7210702341137124,0.4095867740901018,0.7943412203787094,0.6781607131383939,0.7010033444816054,0.239348747267212,0.7925019739313076,0.4781995286575042,0.5956999522216914,0.2072043829878959,0.8132019924238111,0.4469873106375764,0.5817486860965122,0.3597263258820196,0.739894626566916,0.675655299629643,0.6839942666029623,0.3660704225560146,0.7533534029222275,0.6785904152523261,0.6870520783564262
EMP/Yeast_H3K4me1,0.4492479359569429,0.7843936509523929,0.7212446154340697,0.7281144781144782,0.3041099544509342,0.7114880491036828,0.6436150361896642,0.6579335016835017,0.2949143643923225,0.7172845552702167,0.6234710389704785,0.6513047138047138,0.2613219154342219,0.7182861036006273,0.5654473362093266,0.6272095959595959,0.2001525032833121,0.7142151732808532,0.4752435264812379,0.5909090909090909,0.2830059914377885,0.7600049021533759,0.5676844161627609,0.6332070707070707,0.2959080535313785,0.6917727981384318,0.6376809764841018,0.6539351851851852,0.2909998777323165,0.6992824015372581,0.6303390488001386,0.6510942760942761
EMP/Yeast_H3K4me2,0.3067951449078964,0.7309057094827326,0.6207843234274952,0.6758283541553504,0.2707785924638162,0.6977712473859142,0.5977827022295463,0.6611624117327539,0.2366227085213367,0.7018669536679147,0.5351391373955069,0.6437805540467137,0.1791048214122996,0.6994303146338112,0.472032040611145,0.6219445953286258,0.2481265262535905,0.7011406600110583,0.5907751243734647,0.652362846279196,0.2757771155805473,0.7003437490446396,0.6013497277727832,0.602607278652906,0.2608659466632696,0.6820662702916105,0.6031916747770771,0.6573601303639326,0.1649897534960637,0.6667356479597213,0.4787964857070303,0.6199891363389463
EMP/Yeast_H3K4me3,0.3557191923139157,0.7404225611937266,0.6747305146148427,0.6804347826086956,0.2491911993961909,0.6852552031917912,0.6030611557491505,0.6265398550724638,0.2628655202978527,0.6974147628290618,0.5927163898432624,0.6286231884057971,0.2536668613047077,0.6913032098565068,0.5917571134726478,0.6255434782608695,,,,,,,,,0.2051114859685538,0.6439387979180937,0.5942986840714248,0.6074275362318841,0.1931603824954625,0.6347772858468826,0.5670222839137473,0.6000905797101449
EMP/Yeast_H3K79me3,0.6302251630724862,0.8851445694571871,0.8127305905702953,0.8153028201571891,0.537660729398488,0.8506601531271963,0.7672361698175497,0.7699953767914933,0.5491033714997523,0.8533495367017024,0.7730193224815056,0.7756588072122053,0.5565061512452979,0.857676962780541,0.7713806133625412,0.7769301895515488,,,,,,,,,0.5046945871292791,0.8245637430854005,0.7497607775203481,0.7534674063800277,0.5008338102309627,0.8216527435736475,0.747613509609052,0.7515025427646786
EMP/Yeast_H3K9ac,0.5021507491197327,0.8256701100021855,0.7481905363557155,0.7554889022195561,0.3946434353426704,0.7754102717272529,0.6957671231696416,0.7031793641271745,0.3858706762425207,0.7770498433743717,0.6872946713730279,0.6994601079784043,0.4032282450090952,0.7854642092226998,0.6996304227029618,0.70749850029994,,,,,,,,,0.380403420985182,0.7558325927005173,0.6899784812488485,0.6950209958008399,0.3272337037668634,0.7463332119181176,0.6432063888420743,0.6701859628074385
EMP/Yeast_H4,0.797479232059683,0.9474681732751764,0.8982829139845405,0.8991097922848664,0.6575818379491042,0.9104936160799472,0.8286754272121966,0.8313170509016207,0.6591683141171594,0.9096558373903014,0.8283581457060392,0.8322300844556038,0.6639017500461413,0.9039543407447934,0.8305977645929075,0.8345126683405615,,,,,,,,,0.6743025216042146,0.9057235123465234,0.8370069775586202,0.8386213193334855,0.648983368383046,0.9035440001621098,0.8209790781301078,0.8265236247432093
EMP/Yeast_H4ac,0.474485415553924,0.8011581056662249,0.7365155104568213,0.7397595072832144,0.3398367652343363,0.7405634160250465,0.6574625427259324,0.6727930393977906,0.3460965413977734,0.744002113327576,0.657379774276021,0.6749437872714831,0.3707605354081505,0.7566950062170952,0.6752437181365347,0.6879460357806237,,,,,,,,,0.2852036197039509,0.6971949546997338,0.6330046878103003,0.6474728712484114,0.2957870912149665,0.7098254996549221,0.6302706862621229,0.6511877993938802
deep4mc/A.thaliana_4mC,0.2070267948161183,0.6439493307898724,0.6034205256047467,0.6034813943445955,0.1776887092470257,0.6215365467801369,0.5888432970659923,0.588844051997558,0.1748966162001881,0.6200861731355711,0.587234133041158,0.587384784907009,0.1537375131527859,0.605001656287414,0.5752013074912363,0.5764253912473756,,,,,,,,,0.127123884333325,0.5884594080255003,0.5635536244084973,0.5635600160817189,0.1035639894508479,0.5718038974788096,0.551780262196613,0.5517816459937163
deep4mc/C.elegans_4mC,0.2130386283450589,0.6472654927444463,0.6065122747055638,0.6065168415847024,0.1910491844627209,0.6309798787483594,0.5954471611310513,0.5954997527336667,0.1792461511629575,0.6267633334095302,0.5896139743481845,0.5896203088081763,0.1530976861622937,0.6090077625695863,0.5760081302570261,0.5764052969943404,,,,,,,,,0.1234857792681114,0.5874307719256953,0.5617031830212841,0.5617341612176493,0.1070944585838887,0.5758116712022101,0.5535455178538662,0.5535468981812187
