model,dataset,split,max_length,n_sequences,n_truncated,truncation_rate,mean_tokens,max_tokens,fraction_retained_mean
InstaDeepAI/NTv3_650M_pre,EMP/Yeast_H3,train,32768,10475,0,0.0,499.9618138424821,500,1.0
InstaDeepAI/NTv3_650M_pre,EMP/Yeast_H3,test,32768,4490,0,0.0,500.0,500,1.0
InstaDeepAI/NTv3_650M_pre,EMP/Yeast_H3K14ac,train,32768,23133,0,0.0,499.980504041845,500,1.0
InstaDeepAI/NTv3_650M_pre,EMP/Yeast_H3K14ac,test,32768,9915,0,0.0,500.0,500,1.0
InstaDeepAI/NTv3_650M_pre,EMP/Yeast_H3K36me3,train,32768,24415,0,0.0,499.9901290190457,500,1.0
InstaDeepAI/NTv3_650M_pre,EMP/Yeast_H3K36me3,test,32768,10465,0,0.0,500.0,500,1.0
InstaDeepAI/NTv3_650M_pre,EMP/Yeast_H3K4me1,train,32768,22173,0,0.0,499.99052902178323,500,1.0
InstaDeepAI/NTv3_650M_pre,EMP/Yeast_H3K4me1,test,32768,9504,0,0.0,499.98000841750843,500,1.0
InstaDeepAI/NTv3_650M_pre,EMP/Yeast_H3K4me2,train,32768,21478,0,0.0,499.9813762920197,500,1.0
InstaDeepAI/NTv3_650M_pre,EMP/Yeast_H3K4me2,test,32768,9205,0,0.0,500.0,500,1.0
InstaDeepAI/NTv3_650M_pre,EMP/Yeast_H3K4me3,train,32768,25759,0,0.0,499.99064404674095,500,1.0
InstaDeepAI/NTv3_650M_pre,EMP/Yeast_H3K4me3,test,32768,11040,0,0.0,499.98097826086956,500,1.0
InstaDeepAI/NTv3_650M_pre,EMP/Yeast_H3K79me3,train,32768,20185,0,0.0,499.98806044092146,500,1.0
InstaDeepAI/NTv3_650M_pre,EMP/Yeast_H3K79me3,test,32768,8652,0,0.0,500.0,500,1.0
InstaDeepAI/NTv3_650M_pre,EMP/Yeast_H3K9ac,train,32768,19447,0,0.0,499.989201419242,500,1.0
InstaDeepAI/NTv3_650M_pre,EMP/Yeast_H3K9ac,test,32768,8335,0,0.0,500.0,500,1.0
InstaDeepAI/NTv3_650M_pre,EMP/Yeast_H4,train,32768,10220,0,0.0,499.97641878669276,500,1.0
InstaDeepAI/NTv3_650M_pre,EMP/Yeast_H4,test,32768,4381,0,0.0,500.0,500,1.0
InstaDeepAI/NTv3_650M_pre,EMP/Yeast_H4ac,train,32768,23866,0,0.0,499.98906394033355,500,1.0
InstaDeepAI/NTv3_650M_pre,EMP/Yeast_H4ac,test,32768,10229,0,0.0,500.0,500,1.0
InstaDeepAI/NTv3_650M_pre,deep4mc/A.thaliana_4mC,train,32768,156697,0,0.0,41.0,41,1.0
InstaDeepAI/NTv3_650M_pre,deep4mc/A.thaliana_4mC,test,32768,67157,0,0.0,41.0,41,1.0
InstaDeepAI/NTv3_650M_pre,deep4mc/C.elegans_4mC,train,32768,84926,0,0.0,41.0,41,1.0
InstaDeepAI/NTv3_650M_pre,deep4mc/C.elegans_4mC,test,32768,36398,0,0.0,41.0,41,1.0
InstaDeepAI/NTv3_650M_pre,deep4mc/D.melanogaster_4mC,train,32768,126466,0,0.0,41.0,41,1.0
InstaDeepAI/NTv3_650M_pre,deep4mc/D.melanogaster_4mC,test,32768,54200,0,0.0,41.0,41,1.0
InstaDeepAI/NTv3_650M_pre,deep4mc/E.coli_4mC,train,32768,8681,0,0.0,41.0,41,1.0
InstaDeepAI/NTv3_650M_pre,deep4mc/E.coli_4mC,test,32768,3721,0,0.0,41.0,41,1.0
