dataset,metric_select,kmer_choice,kmer_col,fm_model,fm_col,feat_dim_fm,feat_dim_kmer,MCC,AUROC,F1,Accuracy
EMP/Yeast_H3,MCC,k=6,kmer_k6_MCC,InstaDeepAI/NTv3_650M_pre,fm_NTv3_650M_pre_MCC,1536,4096,0.7490448045526331,0.9428646019456025,0.8745098471398713,0.8746102449888642
EMP/Yeast_H3K14ac,MCC,k=6,kmer_k6_MCC,InstaDeepAI/NTv3_650M_pre,fm_NTv3_650M_pre_MCC,1536,4096,0.5054352587118421,0.8269632320166408,0.7526100507637195,0.75642965204236
EMP/Yeast_H3K36me3,MCC,k=6,kmer_k6_MCC,InstaDeepAI/NTv3_650M_pre,fm_NTv3_650M_pre_MCC,1536,4096,0.5483710635218488,0.8501225992662729,0.7725163188477323,0.7763019589106546
EMP/Yeast_H3K4me1,MCC,k=6,kmer_k6_MCC,InstaDeepAI/NTv3_650M_pre,fm_NTv3_650M_pre_MCC,1536,4096,0.45520879846206924,0.790084033088196,0.7262646037253543,0.7310606060606061
EMP/Yeast_H3K4me2,MCC,k=6,kmer_k6_MCC,InstaDeepAI/NTv3_650M_pre,fm_NTv3_650M_pre_MCC,1536,4096,0.33099674015716424,0.7405503930688377,0.6463726767795059,0.6865833785985878
EMP/Yeast_H3K4me3,MCC,k=6,kmer_k6_MCC,InstaDeepAI/NTv3_650M_pre,fm_NTv3_650M_pre_MCC,1536,4096,0.36394406946993874,0.7495038163875578,0.6807983467097516,0.6844202898550724
EMP/Yeast_H3K79me3,MCC,k=6,kmer_k6_MCC,InstaDeepAI/NTv3_650M_pre,fm_NTv3_650M_pre_MCC,1536,4096,0.6299455830272228,0.8887281428901015,0.8139353332540036,0.8157651410078595
EMP/Yeast_H3K9ac,MCC,k=6,kmer_k6_MCC,InstaDeepAI/NTv3_650M_pre,fm_NTv3_650M_pre_MCC,1536,4096,0.5202787743997492,0.8380329569461645,0.7594437353001313,0.7641271745650869
EMP/Yeast_H4,MCC,k=4,kmer_k4_MCC,InstaDeepAI/NTv3_650M_pre,fm_NTv3_650M_pre_MCC,1536,256,0.8166706181265103,0.9537727270424576,0.9082146614144446,0.9091531613786806
EMP/Yeast_H4ac,MCC,k=6,kmer_k6_MCC,InstaDeepAI/NTv3_650M_pre,fm_NTv3_650M_pre_MCC,1536,4096,0.4810884912528802,0.8117593321256957,0.7402981287848625,0.7427901065597811
