dataset,ridge_k6_hyenadna-medium-160k-seqlen-hf_R2,ridge_k6_NTv3_650M_pre_R2,proj_k6_NTv3_650M_pre_MCC,proj_k6_NTv3_650M_pre_AUROC,resid_k6_NTv3_650M_pre_MCC,resid_k6_NTv3_650M_pre_AUROC,proj_k6_hyenadna-medium-160k-seqlen-hf_MCC,proj_k6_hyenadna-medium-160k-seqlen-hf_AUROC,resid_k6_hyenadna-medium-160k-seqlen-hf_MCC,resid_k6_hyenadna-medium-160k-seqlen-hf_AUROC,ridge_k6_DNABERT-2-117M_R2,proj_k6_DNABERT-2-117M_MCC,proj_k6_DNABERT-2-117M_AUROC,resid_k6_DNABERT-2-117M_MCC,resid_k6_DNABERT-2-117M_AUROC,proj_k6_NTv3_650M_pre_F1,proj_k6_NTv3_650M_pre_Accuracy,resid_k6_NTv3_650M_pre_F1,resid_k6_NTv3_650M_pre_Accuracy,ridge_k4_NTv3_650M_pre_R2,proj_k4_NTv3_650M_pre_MCC,proj_k4_NTv3_650M_pre_AUROC,resid_k4_NTv3_650M_pre_MCC,resid_k4_NTv3_650M_pre_AUROC,ridge_k4_NTv3_650M_pre_R2__pool_max__map_ridge,ridge_k4_NTv3_650M_pre_R2__pool_cls__map_ridge,proj_k4_NTv3_650M_pre_MCC__pool_max__map_ridge,proj_k4_NTv3_650M_pre_AUROC__pool_max__map_ridge,proj_k4_NTv3_650M_pre_MCC__pool_cls__map_ridge,proj_k4_NTv3_650M_pre_AUROC__pool_cls__map_ridge,resid_k4_NTv3_650M_pre_MCC__pool_max__map_ridge,resid_k4_NTv3_650M_pre_AUROC__pool_max__map_ridge,resid_k4_NTv3_650M_pre_MCC__pool_cls__map_ridge,resid_k4_NTv3_650M_pre_AUROC__pool_cls__map_ridge,ridge_k5_NTv3_650M_pre_R2__pool_max__map_ridge,ridge_k5_NTv3_650M_pre_R2__pool_cls__map_ridge,proj_k5_NTv3_650M_pre_MCC__pool_max__map_ridge,proj_k5_NTv3_650M_pre_AUROC__pool_max__map_ridge,proj_k5_NTv3_650M_pre_MCC__pool_cls__map_ridge,proj_k5_NTv3_650M_pre_AUROC__pool_cls__map_ridge,resid_k5_NTv3_650M_pre_MCC__pool_max__map_ridge,resid_k5_NTv3_650M_pre_AUROC__pool_max__map_ridge,resid_k5_NTv3_650M_pre_MCC__pool_cls__map_ridge,resid_k5_NTv3_650M_pre_AUROC__pool_cls__map_ridge,ridge_k6_NTv3_650M_pre_R2__pool_max__map_ridge,ridge_k6_NTv3_650M_pre_R2__pool_cls__map_ridge,proj_k6_NTv3_650M_pre_MCC__pool_max__map_ridge,proj_k6_NTv3_650M_pre_AUROC__pool_max__map_ridge,proj_k6_NTv3_650M_pre_MCC__pool_cls__map_ridge,proj_k6_NTv3_650M_pre_AUROC__pool_cls__map_ridge,resid_k6_NTv3_650M_pre_MCC__pool_max__map_ridge,resid_k6_NTv3_650M_pre_AUROC__pool_max__map_ridge,resid_k6_NTv3_650M_pre_MCC__pool_cls__map_ridge,resid_k6_NTv3_650M_pre_AUROC__pool_cls__map_ridge,ridge_k4_NTv3_650M_pre_R2__pool_mean__map_mlp,proj_k4_NTv3_650M_pre_MCC__pool_mean__map_mlp,proj_k4_NTv3_650M_pre_AUROC__pool_mean__map_mlp,ridge_k4_hyenadna-medium-160k-seqlen-hf_R2,proj_k4_hyenadna-medium-160k-seqlen-hf_MCC,proj_k4_hyenadna-medium-160k-seqlen-hf_AUROC,resid_k4_hyenadna-medium-160k-seqlen-hf_MCC,resid_k4_hyenadna-medium-160k-seqlen-hf_AUROC,ridge_k5_hyenadna-medium-160k-seqlen-hf_R2,ridge_k4_hyenadna-medium-160k-seqlen-hf_R2__pool_max__map_ridge,proj_k4_hyenadna-medium-160k-seqlen-hf_MCC__pool_max__map_ridge,proj_k4_hyenadna-medium-160k-seqlen-hf_AUROC__pool_max__map_ridge,resid_k4_hyenadna-medium-160k-seqlen-hf_MCC__pool_max__map_ridge,resid_k4_hyenadna-medium-160k-seqlen-hf_AUROC__pool_max__map_ridge,ridge_k5_hyenadna-medium-160k-seqlen-hf_R2__pool_max__map_ridge,proj_k5_hyenadna-medium-160k-seqlen-hf_MCC__pool_max__map_ridge,proj_k5_hyenadna-medium-160k-seqlen-hf_AUROC__pool_max__map_ridge,resid_k5_hyenadna-medium-160k-seqlen-hf_MCC__pool_max__map_ridge,resid_k5_hyenadna-medium-160k-seqlen-hf_AUROC__pool_max__map_ridge,ridge_k6_hyenadna-medium-160k-seqlen-hf_R2__pool_max__map_ridge,proj_k6_hyenadna-medium-160k-seqlen-hf_MCC__pool_max__map_ridge,proj_k6_hyenadna-medium-160k-seqlen-hf_AUROC__pool_max__map_ridge,resid_k6_hyenadna-medium-160k-seqlen-hf_MCC__pool_max__map_ridge,resid_k6_hyenadna-medium-160k-seqlen-hf_AUROC__pool_max__map_ridge,ridge_k5_NTv3_650M_pre_R2,proj_k5_NTv3_650M_pre_MCC,proj_k5_NTv3_650M_pre_AUROC,resid_k5_NTv3_650M_pre_MCC,resid_k5_NTv3_650M_pre_AUROC
EMP/Yeast_H3,0.6518653035163879,0.4145350456237793,0.7303422265416611,0.9358151677585864,0.6077744272790745,0.8831278538812786,0.6874888962519693,0.9196370855668058,0.3485842096617743,0.7233505062537225,0.2349659949541092,0.7049943210343662,0.9249972205677984,0.4255849726424045,0.7866789755807029,,,,,0.3698491752147674,0.7210802234994939,0.9300519158229104,0.6231283228538683,0.8866136589239627,0.2072874307632446,0.017015554010868,0.6964429176112255,0.9237050823903116,0.680833839434057,0.9160708755211436,0.5785108040846393,0.863891800675005,0.4783458411696549,0.8184865991661704,0.2383298128843307,0.0166486706584692,0.7053612646205218,0.9242843954734962,0.6407218968698963,0.9005733571570379,0.5753396212649126,0.8563839587055787,0.4591781637783274,0.801565812983919,0.2756417989730835,0.0379414111375808,0.7133876578531153,0.9278606313281716,0.6278042378343758,0.897522533253921,0.5799562452719724,0.8595443716497916,0.4495334687687717,0.8007417113361128,-0.5265421271324158,0.6308180819487689,0.894821123684733,0.3697190284729004,0.7211182497938897,0.930112169942426,0.6221891451250834,0.8859434187016082,0.3936611115932464,0.3697190284729004,0.7211182497938897,0.930112169942426,0.6221891451250834,0.8859434187016082,0.3936611115932464,0.7188349822372209,0.9319954337899542,0.6054149435071551,0.8781802660313678,0.4145345687866211,0.7258722901083544,0.9356636887035934,0.6108753175417565,0.8841566408576533,0.3936607837677002,0.719245661111124,0.9317042882668256,0.6071212630298165,0.879239031169347
EMP/Yeast_H3K14ac,0.6452277898788452,0.4232700169086456,0.4144801358326943,0.7725236399719823,0.4219018891066012,0.7734061591280539,0.3341579135439183,0.7253099015266488,0.0829765354871484,0.5837758918716702,0.2565571367740631,0.3863290426813344,0.762785956437183,0.2052787617682501,0.6533589289315052,,,,,0.3784886300563812,0.3734080503103203,0.7496849744895252,0.4395684942760461,0.7818191933489695,0.2325318306684494,0.0248231384903192,0.36945050828431,0.7491179783180864,0.3595054778050242,0.7413503753608346,0.4624058887316464,0.7974169980950057,0.3254553048940032,0.7332099569784348,0.2542147934436798,0.0294631998986005,0.3853890469293939,0.7591599087566065,0.3673312284818537,0.7415950497341498,0.4472711305197983,0.7918711976391866,0.3174143626246792,0.7284008328380702,0.2806520462036133,0.0469136834144592,0.4024441573004209,0.7701311001939486,0.3721222021256985,0.7426438910836712,0.4497431560086225,0.7907995139345828,0.3128825518071936,0.7271058661489398,,,,,,,,,,0.3783512115478515,0.376898202499471,0.7510056854663256,0.4351812220839768,0.7814594366204657,0.4013721942901611,0.4029261879922055,0.7618730084451213,0.4317560936125996,0.7776755238071233,0.4232688844203949,0.4095433375425333,0.7719580118544775,0.4278363244447518,0.7749530550219685,0.4013735949993133,0.4023345075541777,0.7618678264226434,0.4312511867152763,0.7768915045343111
EMP/Yeast_H3K36me3,0.6497713327407837,0.4334729611873626,0.3940540183119245,0.7591682066052515,0.1465398862525529,0.6047587449165843,0.3940540183119245,0.7591682066052515,0.1465398862525529,0.6047587449165843,0.2600163519382477,0.4337028208004341,0.7866653602750132,0.2662455549680157,0.6950490183746634,,,,,0.3881454467773437,0.4432344829731524,0.7889208351667687,0.5021713657567897,0.8197660220182897,0.2468591779470443,0.0262260232120752,0.4386388101088631,0.7860981170747596,0.4297925735887821,0.7794629935876471,0.5573804215293137,0.8326463007857916,0.4575261619164035,0.7854040597297565,0.263150542974472,0.0310752596706151,0.448387337795901,0.7938450710710896,0.4201819239456839,0.7758571760843824,0.5463425598032302,0.8252816281759257,0.4430484022172272,0.7815147125739755,0.2863800823688507,0.0482054054737091,0.4597301753106991,0.8021739063273049,0.4218582927636976,0.7754707754449566,0.53993076345722,0.8265265988255126,0.4314053383401093,0.7765422593425761,,,,,,,,,,0.3880316317081451,0.4418760570241049,0.7894942940255091,0.5057087746308021,0.8189669605018075,0.410286396741867,0.4558801723937655,0.7966823168855975,0.4922046363900795,0.80902907883647,0.4334751665592193,0.4736704761208181,0.8069919243516847,0.4825382433996217,0.8089796845799737,0.4102843999862671,0.4619091068807285,0.7976155115766456,0.4901008471250353,0.8099918438791358
EMP/Yeast_H3K4me1,0.6451736688613892,0.4255402982234955,0.3480487535246174,0.7318756049560861,0.3998721032851125,0.751700707910236,0.3093643695529418,0.7104136381657197,0.1284389798172435,0.6091426053382576,0.2573611140251159,0.3313467897391673,0.7207395465374189,0.1946996090645509,0.6448558641898142,,,,,0.3817810118198395,0.329840860645398,0.7191888945242322,0.4077720494386109,0.7538849788734155,0.2358394265174865,0.0246721804141998,0.3206526589717124,0.7182772636519168,0.328555954571305,0.7174472460434532,0.4716530760257488,0.7811664446262042,0.3526513143503432,0.7262248686508631,0.2534635961055755,0.0293135587126016,0.3420196453813994,0.7247306047953597,0.3130115399697117,0.7071454912689881,0.4584372007064635,0.777312316280864,0.3438598699824861,0.7189682976223217,0.2767301797866821,0.0469427071511745,0.3520833285506384,0.7322259883776997,0.3128217698872422,0.7032011775883191,0.4493689345160376,0.7735285950017681,0.3258593463242322,0.7118795516806617,,,,,,,,,,0.3817430436611175,,,,,,,,,,,,,,,0.4039811193943023,0.3431524865821139,0.7266362387893377,0.3995263244781568,0.7509368113322785
EMP/Yeast_H3K4me2,0.648087739944458,0.422222226858139,0.3080328957550532,0.7128833516323,0.2051638647987106,0.6792058785638178,0.2806076649868084,0.6935395319703508,0.1138177249945296,0.59031431344494,0.2555169761180877,0.2965735305339242,0.7126091357310596,0.0669978882570606,0.5855385126588121,,,,,0.3795343339443207,0.2944741542985902,0.7085330128108396,0.2301859245905265,0.6887755007358167,0.2306983470916748,0.0250932481139898,0.2759928454075616,0.6984252144622296,0.2800715486282857,0.6994023802623935,0.1944184233081494,0.6650566799140052,0.1274836431083638,0.61845242996311,0.2505298256874084,0.0289741605520248,0.2861987955772711,0.7032272403487968,0.2555683018974378,0.6891492450443106,0.179393606888416,0.6582828390268172,0.0866890903507451,0.5981223121103412,0.2716298401355743,0.0470756888389587,0.3018131131679831,0.7098927134559574,0.2414900564958327,0.6826494247131086,0.1742710711653731,0.6542861727889335,0.0768363577610178,0.5833013699660383,,,,,,,,,,,,,,,,,,,,,,,,,0.4022888243198395,0.3000179217159345,0.7112767834215952,0.2229821875061094,0.6883931123998037
EMP/Yeast_H3K4me3,0.647504448890686,0.4204743802547455,0.2897468221559781,0.6983541143712908,0.2773605104747225,0.689186372916168,0.2233092110795717,0.6592076770795489,0.092994841158613,0.5648468153296502,0.2615633606910705,0.2789241338618017,0.6906010692984682,0.1342408865272701,0.5973137050829697,,,,,0.3748607635498047,0.2615693800613483,0.6767935244993923,0.2921595985839823,0.6989339085109172,0.2304393500089645,0.0248387698084115,0.2647156747216406,0.6761967231528963,0.2519769748862386,0.6722637406448415,0.3145027315412013,0.7204015849793932,0.2038432634048644,0.6427566322421243,0.2494130879640579,0.0306993518024683,0.2686315621965159,0.6842537226089622,0.2398705581729426,0.6702077143569731,0.2975368159685738,0.7143999855768338,0.1954148710997665,0.6387370975533715,0.274319976568222,0.0476312451064586,0.2833797471407921,0.6980459081863299,0.2439817252459204,0.6683683321984759,0.2958633142619161,0.7090654905677735,0.1925249348949917,0.6351427759960677,,,,,,,,,,,,,,,,,,,,,,,,,0.3986901044845581,0.2750027804993689,0.687928993197414,0.278995415278017,0.6937235397442439
EMP/Yeast_H3K79me3,0.6447353363037109,0.4275358617305755,0.6138208620275986,0.8725017034998204,0.5615288728408981,0.8513353828984714,0.5562988371612015,0.8508005107816784,0.2168144228434178,0.6567631893808918,0.2535617649555206,0.58129066801154,0.8602218037246285,0.3638804027027589,0.7429336413046395,,,,,0.3879705667495727,0.5847448172889719,0.8638871988024531,0.5602536254877455,0.8533352648606887,0.2356141805648803,0.3877955377101898,0.5768139136649026,0.8595820389417377,0.5837804732454739,0.8636781109662466,0.5834520205034701,0.8592468116385256,0.5608421909366431,0.8535268079900848,0.2545344829559326,0.4079035818576813,0.5971256566299903,0.8663850392475628,0.6068255434156757,0.8699824552931897,0.5762091022160268,0.8553770502358072,0.5505517825819519,0.8498787430049201,0.2784201502799988,0.4275358617305755,0.5988059679424343,0.8689607309757967,0.6110338472401831,0.8725804668930845,0.5718062110975368,0.8541028323702524,0.5580764564383736,0.8516227512461034,,,,,,,,,,,,,,,,,,,,,,,,,0.4079035818576813,0.6068255434156757,0.8699824552931897,0.5505517825819519,0.8498787430049201
EMP/Yeast_H3K9ac,0.6453832983970642,0.6453832983970642,0.4616149230835579,0.802094266773512,0.3790720086402746,0.7540179208858455,0.3979805764618497,0.767822889196474,0.201553997035205,0.6543372331900634,0.2538227438926697,0.4458100621566869,0.7974700954323595,0.1934693415368965,0.6486743206818679,,,,,0.382516860961914,0.4244038491624349,0.7851784657973337,0.3965148000439215,0.762461776061776,0.2261821031570434,0.3823926448822021,0.4109558543009109,0.7781288264005245,0.4250011103719971,0.7844091207110074,0.3682410449427388,0.7548310920084506,0.3991294666540128,0.7637514970496103,0.2461169213056564,0.4023924767971039,0.4334389677356792,0.7914532818532819,0.4460932454262955,0.7961909812777737,0.3614666962331796,0.7481110803525899,0.3876242554999959,0.7589437459022363,0.2743299305438995,0.4230670630931854,0.4446593786475433,0.7963538719312304,0.4583994707247301,0.8012809208129963,0.3651420336179576,0.744662052888468,0.3765601000324652,0.7547074816055948,,,,,,,,,,,,,,,,,,,,,,,,,0.4023924767971039,0.4460932454262955,0.7961909812777737,0.3876242554999959,0.7589437459022363
EMP/Yeast_H4,0.6436280608177185,0.6436280608177185,0.7853286904382998,0.943979856161272,0.7442746886225434,0.924970786452344,0.7234742058568207,0.922920772183299,0.2686702008853422,0.7030058714164855,0.2331016510725021,0.7281015648363062,0.931326421711914,0.4880104950066072,0.8216586793787816,,,,,0.3889850378036499,0.7495237257567607,0.9321473139578278,0.7402078897637651,0.9253490427919372,0.207951471209526,0.3890557289123535,0.7433460423707038,0.9307858444319485,0.7503009069060178,0.932224569437901,0.7409759429130381,0.9285226388107892,0.7441627251823381,0.9256413893490444,0.2402744144201278,0.4111762940883636,0.7564791457830942,0.936834779657239,0.7711874784461381,0.9379785195992508,0.7176946562692812,0.9218383511400884,0.7413985922146706,0.921486479868826,0.2772826254367828,0.4272022247314453,0.7676561254032962,0.9424434008622218,0.7820806676681773,0.9438612288940562,0.7275500265550006,0.9250313665692318,0.7321765909895321,0.9249353249205072,,,,,,,,,,,,,,,,,,,,,,,,,0.4111762940883636,0.7711874784461381,0.9379785195992508,0.7413985922146706,0.921486479868826
EMP/Yeast_H4ac,0.6453511118888855,0.6453511118888855,0.392980762379561,0.7647654182536439,0.3642948013380202,0.7374266666328092,0.3300460024003918,0.7206298907347162,0.131521618794278,0.5879164355310816,0.2614664733409881,0.3773944145622169,0.7522171510260498,0.1636087365505918,0.6206477352098426,,,,,0.37838876247406,0.3705569292484287,0.7457991804776672,0.381694668110783,0.7521859097285015,0.230315163731575,0.3782829940319061,0.3517298391782013,0.737744427564397,0.3663193301906212,0.7457845216915022,0.3773173777685124,0.7514789791852161,0.3786539105695622,0.7509489159385174,0.2496746182441711,0.4005139172077179,0.3702569361881014,0.7502999279988125,0.3869208491611058,0.757263697866181,0.3585234127911959,0.7435207203289047,0.3731126019559528,0.7440210812582302,0.2743321061134338,0.4211341142654419,0.393806131732404,0.7574018213368674,0.3952856871320343,0.7637239518948655,0.3593466664993625,0.7407678310667618,0.3618259540274774,0.7377868649427164,,,,,,,,,,,,,,,,,,,,,,,,,0.4005139172077179,0.3869208491611058,0.757263697866181,0.3731126019559528,0.7440210812582302
