method,seq_len,params_M,GFLOPS_per_seq
fm_NTv3_650M_pre,100,651.83,0.91595
fm_NTv3_650M_pre,250,651.83,1.832047
fm_NTv3_650M_pre,500,651.83,3.664685
fm_NTv3_650M_pre,1000,651.83,7.331729
fm_NTv3_650M_pre,2000,651.83,14.672894
fm_hyenadna-medium-160k-seqlen-hf,100,6.55,1.260985
fm_hyenadna-medium-160k-seqlen-hf,250,6.55,3.152458
fm_hyenadna-medium-160k-seqlen-hf,500,6.55,6.304914
fm_hyenadna-medium-160k-seqlen-hf,1000,6.55,12.609826
fm_hyenadna-medium-160k-seqlen-hf,2000,6.55,25.219651
fm_DNABERT-2-117M,100,117.07,5.61929
fm_DNABERT-2-117M,250,117.07,13.579951
fm_DNABERT-2-117M,500,117.07,26.925765
fm_DNABERT-2-117M,1000,117.07,52.212571
fm_DNABERT-2-117M,2000,117.07,103.020319
kmer_k6,100,,1.6884e-05
kmer_k6,250,,1.7634e-05
kmer_k6,500,,1.8884e-05
kmer_k6,1000,,2.1384e-05
kmer_k6,2000,,2.6384e-05
2026-04-30T14:01:41.185107,EMP/Yeast_H3,fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16,256,37.38214451703243
2026-04-30T14:01:46.555478,EMP/Yeast_H3,fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16,256,14.85900584794581
2026-04-30T14:02:17.273129,EMP/Yeast_H3,fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16,256,0.038458809023723006
2026-04-30T14:04:43.001775,EMP/Yeast_H3K14ac,fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16,256,70.37203615508042
2026-04-30T14:07:40.133317,EMP/Yeast_H3K36me3,fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16,256,73.09005686896853
2026-04-30T14:10:37.539740,EMP/Yeast_H3K4me1,fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16,256,67.1470191241242
2026-04-30T14:13:22.855719,EMP/Yeast_H3K4me2,fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16,256,64.4124731309712
2026-04-30T14:16:18.084281,EMP/Yeast_H3K4me3,fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16,256,77.27956019481644
2026-04-30T14:19:22.186951,EMP/Yeast_H3K79me3,fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16,256,60.99209474003874
2026-04-30T14:21:48.127820,EMP/Yeast_H3K9ac,fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16,256,57.316194880986586
2026-04-30T14:23:42.861236,EMP/Yeast_H4,fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16,256,29.746937391115353
2026-04-30T14:25:35.410634,EMP/Yeast_H4ac,fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16,256,70.5361949831713
2026-04-30T14:32:09.526204,deep4mc/A.thaliana_4mC,fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16,256,286.2051171641797
2026-04-30T14:49:12.239553,deep4mc/C.elegans_4mC,fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16,256,156.91143477195874
2026-04-30T15:00:29.074491,deep4mc/D.melanogaster_4mC,fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16,256,230.58297175401822
