method,seq_len,n_seqs,n_reps,n_workers,duration_sec,throughput_seqs_per_sec
kmer_k4,100,1000,3,1,0.127208,7861.17
kmer_k5,100,1000,3,1,0.15013,6660.88
kmer_k6,100,1000,3,1,0.20484,4881.87
kmer_multiscale_456,100,1000,3,1,0.36088,2771.01
kmer_k4,250,1000,3,1,0.207601,4816.92
kmer_k5,250,1000,3,1,0.236525,4227.89
kmer_k6,250,1000,3,1,0.29102,3436.19
kmer_multiscale_456,250,1000,3,1,0.448311,2230.59
kmer_k4,500,1000,3,1,0.358281,2791.11
kmer_k5,500,1000,3,1,0.381334,2622.37
kmer_k6,500,1000,3,1,0.438861,2278.62
kmer_multiscale_456,500,1000,3,1,0.602527,1659.68
kmer_k4,1000,1000,3,1,0.662998,1508.3
kmer_k5,1000,1000,3,1,0.68697,1455.67
kmer_k6,1000,1000,3,1,0.734112,1362.19
kmer_multiscale_456,1000,1000,3,1,0.901658,1109.07
kmer_k4,2000,1000,3,1,1.247296,801.73
kmer_k5,2000,1000,3,1,1.27687,783.17
kmer_k6,2000,1000,3,1,1.325894,754.21
kmer_multiscale_456,2000,1000,3,1,1.496063,668.42
