dataset,method,params_M,GFLOPS_per_seq,GFLOPS_total,AUROC,emissions_kg_CO2,energy_kWh,duration_sec,n_sequences,seq_len_mean
EMP/Yeast_H3,fm_NTv3_650M_pre,651.83,3.664685,54842.0052,0.944402,0.00693426,0.02096729,378.514,14965,500.0
EMP/Yeast_H3K14ac,fm_NTv3_650M_pre,651.83,3.664685,121110.4971,0.827154,0.01581345,0.04781551,860.9132,33048,500.0
EMP/Yeast_H3K36me3,fm_NTv3_650M_pre,651.83,3.664685,127824.1993,0.849253,0.01837362,0.05555675,883.601,34880,500.0
EMP/Yeast_H3K4me1,fm_NTv3_650M_pre,651.83,3.664685,116086.2145,0.789825,0.01516329,0.0458496,800.0955,31677,500.0
EMP/Yeast_H3K4me2,fm_NTv3_650M_pre,651.83,3.664685,112443.5179,0.736937,0.01420752,0.04295963,774.8452,30683,500.0
EMP/Yeast_H3K4me3,fm_NTv3_650M_pre,651.83,3.664685,134856.729,0.748768,0.01697799,0.05133675,932.8039,36799,500.0
EMP/Yeast_H3K79me3,fm_NTv3_650M_pre,651.83,3.664685,105678.5102,0.888726,0.01323434,0.04001699,728.1492,28837,500.0
EMP/Yeast_H3K9ac,fm_NTv3_650M_pre,651.83,3.664685,101812.2679,0.839201,0.01301573,0.03935597,700.7678,27782,500.0
EMP/Yeast_H4,fm_NTv3_650M_pre,651.83,3.664685,53508.06,0.953663,0.0069023,0.02087065,367.8053,14601,500.0
EMP/Yeast_H4ac,fm_NTv3_650M_pre,651.83,3.664685,124947.4218,0.811344,0.01578084,0.0477169,857.9778,34095,500.0
deep4mc/A.thaliana_4mC,fm_NTv3_650M_pre,651.83,0.91595,205039.0644,0.630951,0.11083547,0.33513587,5618.598,223854,41.0
deep4mc/C.elegans_4mC,fm_NTv3_650M_pre,651.83,0.91595,111126.714,0.628656,0.05290661,0.159975,3015.0903,121324,41.0
