dataset,fusion_k4_5_6_concat_MCC,fusion_k4_5_6_concat_AUROC,fusion_k4_5_6_concat_F1,fusion_k4_5_6_concat_Accuracy,fusion_k4_5_6_weighted_MCC,fusion_k4_5_6_weighted_AUROC,fusion_k4_5_6_weighted_F1,fusion_k4_5_6_weighted_Accuracy,fusion_k4_5_6_weighted_weights
EMP/Yeast_H3,0.6103227536309774,0.8995876513797896,0.8027968981736853,0.8040089086859689,0.6103227536309774,0.8995876513797896,0.8027968981736853,0.8040089086859689,"2.0,0.5,2.0"
EMP/Yeast_H3K14ac,0.37528580715495313,0.7726277778956976,0.6586336365887664,0.6945032778618255,0.37528580715495313,0.7726277778956976,0.6586336365887664,0.6945032778618255,"1.0,0.5,1.0"
EMP/Yeast_H3K36me3,0.44779370589674244,0.7974091811381172,0.71895135709233,0.72651696129957,0.44779370589674244,0.7974091811381172,0.71895135709233,0.72651696129957,"1.0,0.5,1.0"
EMP/Yeast_H3K4me1,0.33567628114554116,0.7428971905035735,0.6487758404282669,0.6708754208754208,0.33567628114554116,0.7428971905035735,0.6487758404282669,0.6708754208754208,"1.0,0.5,1.0"
EMP/Yeast_H3K4me2,0.2821750957820748,0.7240365401112667,0.596269725003618,0.6649646931015752,0.2821750957820748,0.7240365401112667,0.596269725003618,0.6649646931015752,"0.5,0.5,0.5"
EMP/Yeast_H3K4me3,0.3008693912717789,0.7182284199062238,0.6255670642304728,0.6492753623188405,0.3008693912717789,0.7182284199062238,0.6255670642304728,0.6492753623188405,"2.0,0.5,1.0"
EMP/Yeast_H3K79me3,0.5783610020989249,0.8641212355336649,0.7862407389380275,0.7895284327323162,0.5783610020989249,0.8641212355336649,0.7862407389380275,0.7895284327323162,"1.0,0.5,1.0"
EMP/Yeast_H3K9ac,0.41609829362380213,0.7789865229110512,0.7060838092197828,0.71373725254949,0.41609829362380213,0.7789865229110512,0.7060838092197828,0.71373725254949,"1.0,0.5,1.0"
EMP/Yeast_H4,0.6733116005861987,0.9083458715178042,0.8364260051577836,0.8379365441679981,0.6733116005861987,0.9083458715178042,0.8364260051577836,0.8379365441679981,"1.0,0.5,1.0"
EMP/Yeast_H4ac,0.3445578072191602,0.7479333997095483,0.6612751289680359,0.6753348323394271,0.3445578072191602,0.7479333997095483,0.6612751289680359,0.6753348323394271,"2.0,0.5,1.0"
