dataset,mi_fm_NTv3_650M_pre_mean,mi_fm_NTv3_650M_pre_median,mi_fm_hyenadna-medium-160k-seqlen-hf_mean,mi_fm_hyenadna-medium-160k-seqlen-hf_median,mi_fm_DNABERT-2-117M_mean,mi_fm_DNABERT-2-117M_median
EMP/Yeast_H3,0.05606736633368616,0.049209865528437424,0.055982854469721954,0.049463302321176905,0.008796075152235251,0.00586385690056479
EMP/Yeast_H3K14ac,0.028580390937525246,0.024298762209802316,0.028493065067985004,0.024202707271920865,0.002769179207491958,0.0018285103552916349
EMP/Yeast_H3K36me3,0.05884696953250947,0.05364034794415529,0.05883474047724659,0.053166486803459256,0.005777663738121246,0.004610720315234018
EMP/Yeast_H3K4me1,0.02852704474213953,0.02456148347025211,0.02856094659643749,0.024421594729649554,0.0031874988438390893,0.0023916983096246014
EMP/Yeast_H3K4me2,0.004557684539544782,0.004002145325606166,0.004557684539544782,0.004002145325606166,0.0020498018982286217,0.0009088676132195106
EMP/Yeast_H3K4me3,0.007100833801632738,0.006155135444760318,0.007100833801632738,0.006155135444760318,0.0016465533995376838,0.0005905183839910455
EMP/Yeast_H3K79me3,0.0691659600263289,0.0610965259567503,0.0691659600263289,0.0610965259567503,0.006489487556304064,0.0045199028720908085
EMP/Yeast_H3K9ac,0.012082865957248385,0.010345659886875302,0.012082865957248385,0.010345659886875302,0.003021239796007359,0.0019972816140765293
EMP/Yeast_H4,0.11676318343672827,0.10152996517075674,0.11676318343672827,0.10152996517075674,0.011666085903077708,0.007971778202416124
EMP/Yeast_H4ac,0.010421365893787978,0.0092168661460309,0.010421365893787978,0.0092168661460309,0.002279677484385889,0.001503609493537561
deep4mc/A.thaliana_4mC,0.001130097972406409,0.0007708377180469794,0.001130097972406409,0.0007708377180469794,0.0005833313997999464,0.00010767620783458387
deep4mc/C.elegans_4mC,0.0018621377765963322,0.001383437623556305,0.0018621377765963322,0.001383437623556305,0.0008410782539540494,0.00025580151941939633
deep4mc/D.melanogaster_4mC,0.0013357164139863164,0.0009817977682887724,0.0013357164139863164,0.0009817977682887724,0.0007295372880403147,0.0002830869584644624
deep4mc/E.coli_4mC,0.0021758494599455605,0.0009300844025000865,0.0021758494599455605,0.0009300844025000865,0.0016029411616468772,0.0003910820028203421
deep4mc/G.pickeringii_4mC,0.0019918859006159487,0.0012728694152448483,0.0019918859006159487,0.0012728694152448483,0.0013476260321061701,0.0006612332318579606
deep4mc/G.subterraneus_4mC,0.0010656987793325559,0.0007448689585382029,0.0010656987793325559,0.0007448689585382029,0.0006797761376145002,0.00013048692522932281
enhancers/enhancer,0.03777511499217017,0.03200319431305576,0.03777511499217017,0.03200319431305576,0.020345709255642146,0.01796916272167648
enhancers/enhancer_strength,0.03177200422485658,0.02580390436780211,0.03177200422485658,0.02580390436780211,0.008297848721402637,0.005017816114639917
genomic_benchmark/coding,0.06836876579005523,0.0572570216163365,0.06836876579005523,0.0572570216163365,0.013805370094783968,0.0081186142345393
genomic_benchmark/enhancer_cohn,0.0315819024245464,0.029351000973937058,0.0315819024245464,0.029351000973937058,0.011560338079460686,0.007586249324607608
