model_col,dataset
fm_NTv3_650M_pre_MCC,dna_foundation_benchmark/deep4mc/C.elegans_4mC
fm_NTv3_650M_pre_MCC,dna_foundation_benchmark/deep4mc/D.melanogaster_4mC
fm_NTv3_650M_pre_MCC,dna_foundation_benchmark/deep4mc/E.coli_4mC
fm_NTv3_650M_pre_MCC,dna_foundation_benchmark/deep4mc/G.pickeringii_4mC
fm_NTv3_650M_pre_MCC,dna_foundation_benchmark/deep4mc/G.subterraneus_4mC
fm_NTv3_650M_pre_MCC,dna_foundation_benchmark/enhancers/enhancer
fm_NTv3_650M_pre_MCC,dna_foundation_benchmark/enhancers/enhancer_strength
fm_NTv3_650M_pre_MCC,dna_foundation_benchmark/genomic_benchmark/coding
fm_NTv3_650M_pre_MCC,dna_foundation_benchmark/genomic_benchmark/enhancer_cohn
fm_NTv3_650M_pre_MCC,dna_foundation_benchmark/genomic_benchmark/enhancer_ensembl
fm_NTv3_650M_pre_MCC,dna_foundation_benchmark/genomic_benchmark/human_vs_worm
fm_NTv3_650M_pre_MCC,dna_foundation_benchmark/genomic_benchmark/open_chromatin_region
fm_NTv3_650M_pre_MCC,dna_foundation_benchmark/genomic_benchmark/promoter_notata_251bps
fm_NTv3_650M_pre_MCC,dna_foundation_benchmark/genomic_benchmark/regulatory_region_type
fm_NTv3_650M_pre_MCC,dna_foundation_benchmark/iDHS-EL/DNase_I
fm_NTv3_650M_pre_MCC,dna_foundation_benchmark/iDNA_ABF/5mC
fm_NTv3_650M_pre_MCC,dna_foundation_benchmark/iDNA_ABF/6mA
fm_NTv3_650M_pre_MCC,dna_foundation_benchmark/iPro-WAEL/Promoter_Arabidopsis_NonTATA
fm_NTv3_650M_pre_MCC,dna_foundation_benchmark/iPro-WAEL/Promoter_Arabidopsis_TATA
fm_NTv3_650M_pre_MCC,dna_foundation_benchmark/iPro-WAEL/Promoter_B_amyloliquefaciens
fm_NTv3_650M_pre_MCC,dna_foundation_benchmark/iPro-WAEL/Promoter_GM12878
fm_NTv3_650M_pre_MCC,dna_foundation_benchmark/iPro-WAEL/Promoter_HUVEC
fm_NTv3_650M_pre_MCC,dna_foundation_benchmark/iPro-WAEL/Promoter_Hela-S3
fm_NTv3_650M_pre_MCC,dna_foundation_benchmark/iPro-WAEL/Promoter_NHEK
fm_NTv3_650M_pre_MCC,dna_foundation_benchmark/iPro-WAEL/Promoter_R_capsulatus
