index,model,pooling,probe,mean,median,count
0,InstaDeepAI/NTv3_650M_pre,attention,linear,0.44077878784435265,0.4210109957447903,57
1,InstaDeepAI/NTv3_650M_pre,first_token,linear,0.41162895673311684,0.3700740222074026,57
2,InstaDeepAI/NTv3_650M_pre,max,linear,0.5646175665371989,0.552600588764301,57
3,InstaDeepAI/NTv3_650M_pre,mean,linear,0.6016036631151325,0.594718959356351,57
4,InstaDeepAI/NTv3_650M_pre,mean_max,linear,0.6012874871379439,0.5860216869588508,57
5,LongSafari/hyenadna-medium-160k-seqlen-hf,attention,linear,0.4913908545180943,0.4476710859277967,57
6,LongSafari/hyenadna-medium-160k-seqlen-hf,last_token,linear,0.33120488264025005,0.3339211468016957,57
7,LongSafari/hyenadna-medium-160k-seqlen-hf,max,linear,0.41142909909552233,0.3931230753734605,57
8,LongSafari/hyenadna-medium-160k-seqlen-hf,mean,linear,0.546350802722797,0.522184935592669,57
9,LongSafari/hyenadna-medium-160k-seqlen-hf,mean_max,linear,0.48999684646494684,0.4514074445128961,57
10,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,attention,linear,0.5172868514818905,0.4849953910168716,57
11,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,last_token,linear,0.40254373978299773,0.3990343242898615,57
12,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,max,linear,0.4649328281162327,0.4470050701952039,57
13,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,mean,linear,0.5587381006832371,0.5407620555269818,57
14,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,mean_max,linear,0.5224389961993098,0.4976095756898343,57
15,zhihan1996/DNABERT-2-117M,attention,linear,0.42847232020049714,0.3989997975824238,57
16,zhihan1996/DNABERT-2-117M,cls,linear,0.46297673152760865,0.4651699101326357,57
17,zhihan1996/DNABERT-2-117M,max,linear,0.3809762475061279,0.3464313085413306,57
18,zhihan1996/DNABERT-2-117M,mean,linear,0.4283160246360948,0.3989876617768553,57
19,zhihan1996/DNABERT-2-117M,mean_max,linear,0.4229096761075603,0.3836053331754357,57
