model,pooling,probe,task_group,MCC
InstaDeepAI/NTv3_650M_pre,attention,linear,other,0.36320958916058244
InstaDeepAI/NTv3_650M_pre,attention,linear,promoter,0.6252841921351439
InstaDeepAI/NTv3_650M_pre,attention,linear,regulatory,0.3793087376070376
InstaDeepAI/NTv3_650M_pre,attention,linear,splice-site,0.4173695283522685
InstaDeepAI/NTv3_650M_pre,cls,linear,other,0.32611920004785927
InstaDeepAI/NTv3_650M_pre,cls,linear,promoter,0.608836417009813
InstaDeepAI/NTv3_650M_pre,cls,linear,regulatory,0.3696537601804939
InstaDeepAI/NTv3_650M_pre,cls,linear,splice-site,0.2994217886417566
InstaDeepAI/NTv3_650M_pre,max,linear,other,0.4619787306734991
InstaDeepAI/NTv3_650M_pre,max,linear,promoter,0.7287548131408644
InstaDeepAI/NTv3_650M_pre,max,linear,regulatory,0.5210437595353261
InstaDeepAI/NTv3_650M_pre,max,linear,splice-site,0.673145459815835
InstaDeepAI/NTv3_650M_pre,mean,linear,other,0.5069864958515735
InstaDeepAI/NTv3_650M_pre,mean,linear,promoter,0.7585340718808387
InstaDeepAI/NTv3_650M_pre,mean,linear,regulatory,0.5594479876081778
InstaDeepAI/NTv3_650M_pre,mean,linear,splice-site,0.6890163792819769
InstaDeepAI/NTv3_650M_pre,mean_max,linear,other,0.5070647725268755
InstaDeepAI/NTv3_650M_pre,mean_max,linear,promoter,0.7527387598882183
InstaDeepAI/NTv3_650M_pre,mean_max,linear,regulatory,0.5605715816120477
InstaDeepAI/NTv3_650M_pre,mean_max,linear,splice-site,0.7010570645175829
LongSafari/hyenadna-medium-160k-seqlen-hf,attention,linear,other,0.3846170207671932
LongSafari/hyenadna-medium-160k-seqlen-hf,attention,linear,promoter,0.7105373552562809
LongSafari/hyenadna-medium-160k-seqlen-hf,attention,linear,regulatory,0.4556426421223287
LongSafari/hyenadna-medium-160k-seqlen-hf,attention,linear,splice-site,0.38208400662412884
LongSafari/hyenadna-medium-160k-seqlen-hf,max,linear,other,0.3077238759704215
