dataset,model,pooling,probe,feature_dim,n_train,n_test,n_classes,seed,cv_folds,tuning_candidates,selection_metric,cv_score,best_params,MCC,AUROC,F1,Accuracy
EMP/Yeast_H3,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,mean,linear,1536,10475,4490,2,42,4,4,roc_auc,0.9494716144153432,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.7914191999471344,0.955437363510026,0.8956640179988655,0.8957683741648107
EMP/Yeast_H3K14ac,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,mean,linear,1536,23133,9915,2,42,4,4,roc_auc,0.8444291160522124,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.5444182103585106,0.8514691406830387,0.7722058644026251,0.7762985375693394
EMP/Yeast_H3K36me3,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,mean,linear,1536,24415,10465,2,42,4,4,roc_auc,0.8680190581252327,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.5945253535883416,0.8711357545419545,0.7966107433732477,0.7991399904443383
EMP/Yeast_H3K4me1,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,mean,linear,1536,22173,9504,2,42,4,4,roc_auc,0.8090017591304041,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.5034590582054221,0.8195269109468925,0.7510221835580687,0.7546296296296297
EMP/Yeast_H3K4me2,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,mean,linear,1536,21478,9205,2,42,4,4,roc_auc,0.7341764545505366,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.3465290322309161,0.7421004088283162,0.6700921640580797,0.690385659967409
EMP/Yeast_H3K4me3,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,mean,linear,1536,25759,11040,2,42,4,4,roc_auc,0.7708958007957402,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.4012732329930435,0.7774044358948439,0.7004504814615246,0.7024456521739131
EMP/Yeast_H3K79me3,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,mean,linear,1536,20185,8652,2,42,4,4,roc_auc,0.8948174394688314,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.6562146434302754,0.8987685976574866,0.828052609486047,0.8289412852519649
EMP/Yeast_H3K9ac,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,mean,linear,1536,19447,8335,2,42,4,4,roc_auc,0.8412756293759415,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.5407620555269818,0.8469509142565748,0.770298905870227,0.7736052789442112
EMP/Yeast_H4,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,mean,linear,1536,10220,4381,2,42,4,4,roc_auc,0.9586537041381048,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.8260510781472872,0.9614944755999332,0.9129788394632016,0.913946587537092
EMP/Yeast_H4ac,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,mean,linear,1536,23866,10229,2,42,4,4,roc_auc,0.8204713813190257,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.4971289749040858,0.8288475139198832,0.7484919774588206,0.7505132466516766
