model,probe,task_group,pooling,n_datasets,mean_delta,median_delta,pooling_wins,mean_wins,raw_p,adjusted_p,significant
InstaDeepAI/NTv3_650M_pre,linear,other,attention,21,-0.14377690669099116,-0.11899204294789745,0,21,9.5367431640625e-07,5.313328334263393e-06,True
InstaDeepAI/NTv3_650M_pre,linear,other,cls,21,-0.18086729580371433,-0.17081526637230537,0,21,9.5367431640625e-07,5.313328334263393e-06,True
InstaDeepAI/NTv3_650M_pre,linear,other,max,21,-0.04500776517807453,-0.038428923550353655,0,21,9.5367431640625e-07,5.313328334263393e-06,True
InstaDeepAI/NTv3_650M_pre,linear,other,mean_max,21,7.827667530199567e-05,-0.0019219986403370137,10,11,0.9186935424804688,0.9186935424804688,False
InstaDeepAI/NTv3_650M_pre,linear,promoter,attention,15,-0.13324987974569483,-0.12105485971400398,0,15,6.103515625e-05,0.00014002182904411764,True
InstaDeepAI/NTv3_650M_pre,linear,promoter,cls,15,-0.1496976548710258,-0.15174915206950867,1,14,0.00115966796875,0.0020557750355113635,True
InstaDeepAI/NTv3_650M_pre,linear,promoter,max,15,-0.029779258739974213,-0.026701405078314422,0,15,6.103515625e-05,0.00014002182904411764,True
InstaDeepAI/NTv3_650M_pre,linear,promoter,mean_max,15,-0.005795311992620418,-0.00145455160935537,7,8,0.359130859375,0.4119442210477941,False
InstaDeepAI/NTv3_650M_pre,linear,regulatory,attention,17,-0.18013925000114023,-0.17915111907795012,1,16,4.57763671875e-05,0.00014002182904411764,True
InstaDeepAI/NTv3_650M_pre,linear,regulatory,cls,17,-0.18979422742768393,-0.1727990920567628,0,17,1.52587890625e-05,5.950927734375e-05,True
InstaDeepAI/NTv3_650M_pre,linear,regulatory,max,17,-0.03840422807285171,-0.036253302215332295,2,15,0.0013427734375,0.002276876698369565,True
InstaDeepAI/NTv3_650M_pre,linear,regulatory,mean_max,17,0.0011235940038698022,-0.00015631961808282302,7,9,0.6791156892928161,0.6969871548005219,False
LongSafari/hyenadna-medium-160k-seqlen-hf,linear,other,attention,21,-0.11361416355504021,-0.09771502032059365,0,21,9.5367431640625e-07,5.313328334263393e-06,True
LongSafari/hyenadna-medium-160k-seqlen-hf,linear,other,max,21,-0.1905073083518118,-0.18486415124418237,0,21,9.5367431640625e-07,5.313328334263393e-06,True
LongSafari/hyenadna-medium-160k-seqlen-hf,linear,other,mean_max,21,-0.10551479089618446,-0.10107970129478455,1,20,4.76837158203125e-06,2.0662943522135414e-05,True
LongSafari/hyenadna-medium-160k-seqlen-hf,linear,promoter,attention,15,-0.010034776435965858,-0.001472041956082304,6,9,0.359130859375,0.4119442210477941,False
LongSafari/hyenadna-medium-160k-seqlen-hf,linear,promoter,max,15,-0.08961606766201967,-0.08675667018435873,0,15,6.103515625e-05,0.00014002182904411764,True
LongSafari/hyenadna-medium-160k-seqlen-hf,linear,promoter,mean_max,15,-0.02743311120836515,-0.01887675478246542,3,12,0.00335693359375,0.00523681640625,True
LongSafari/hyenadna-medium-160k-seqlen-hf,linear,regulatory,attention,17,-0.0349532905926284,-0.007452162036706067,3,14,0.0055694580078125,0.00835418701171875,True
LongSafari/hyenadna-medium-160k-seqlen-hf,linear,regulatory,max,17,-0.10543463261414188,-0.0979773165926699,1,16,3.0517578125e-05,0.00010819868607954545,True
LongSafari/hyenadna-medium-160k-seqlen-hf,linear,regulatory,mean_max,17,-0.035440975191118745,-0.01956042047864709,1,16,0.000152587890625,0.0003132067228618421,True
kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,linear,other,attention,21,-0.09082717244326226,-0.08569344762894202,1,20,1.9073486328125e-06,9.298324584960938e-06,True
kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,linear,other,max,21,-0.13447852914910655,-0.13930337001686738,0,21,9.5367431640625e-07,5.313328334263393e-06,True
kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,linear,other,mean_max,21,-0.07956650807444926,-0.0815629107653284,3,18,0.00024127960205078125,0.0004704952239990234,True
kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,linear,promoter,attention,15,-0.009525555552615795,-0.0007322523725226127,7,8,0.27685546875,0.3483020413306452,False
kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,linear,promoter,max,15,-0.05727231386590234,-0.05997417600148747,0,15,6.103515625e-05,0.00014002182904411764,True
kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,linear,promoter,mean_max,15,-0.013386857309431262,-0.004677576768192804,5,10,0.083251953125,0.11195952316810345,False
kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,linear,regulatory,attention,17,-0.01903545874388954,-0.0012709222696373201,6,11,0.10888671875,0.14155273437500002,False
kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,linear,regulatory,max,17,-0.06749602000405852,-0.0566802999199586,1,16,0.0001068115234375,0.00023142496744791666,True
kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,linear,regulatory,mean_max,17,-0.013353844750066757,-0.004277212062653857,8,9,0.3778228759765625,0.4210026332310268,False
zhihan1996/DNABERT-2-117M,linear,other,attention,21,-0.0002634968649276489,-0.00020829669360628023,8,12,0.3134630649347462,0.3820331103892219,False
zhihan1996/DNABERT-2-117M,linear,other,max,21,-0.04824557414002554,-0.04808759525203479,0,21,9.5367431640625e-07,5.313328334263393e-06,True
zhihan1996/DNABERT-2-117M,linear,other,mean_max,21,-0.00782168336129522,-0.011447294401573382,3,18,0.0021514892578125,0.0034961700439453125,True
zhihan1996/DNABERT-2-117M,linear,promoter,attention,15,-8.811416441990941e-05,-1.6474418103595845e-05,6,8,0.5097974849608639,0.5522806087076024,False
zhihan1996/DNABERT-2-117M,linear,promoter,max,15,-0.04439696141935754,-0.039384970915858686,0,15,6.103515625e-05,0.00014002182904411764,True
zhihan1996/DNABERT-2-117M,linear,promoter,mean_max,15,-0.00726237738898905,-0.010093667499116,3,12,0.01806640625,0.026095920138888888,True
zhihan1996/DNABERT-2-117M,linear,regulatory,attention,17,0.0009181124600764511,0.0005644195585292056,10,5,0.04088813291185591,0.056951327984370734,False
zhihan1996/DNABERT-2-117M,linear,regulatory,max,17,-0.042071351456217564,-0.051104580008095424,2,15,0.0008392333984375,0.0015585763113839287,True
zhihan1996/DNABERT-2-117M,linear,regulatory,mean_max,17,-0.0006364253169070342,-0.0038806996629112134,6,11,0.54766845703125,0.5772721574113175,False
