dataset,onehot_512bp_MCC,onehot_512bp_AUROC,onehot_512bp_F1,onehot_512bp_Accuracy,onehot_1024bp_MCC,onehot_1024bp_AUROC,onehot_1024bp_F1,onehot_1024bp_Accuracy,onehot_2048bp_MCC,onehot_2048bp_AUROC,onehot_2048bp_F1,onehot_2048bp_Accuracy
genomic_benchmark/enhancer_ensembl,0.6435012631227187,0.8970904796156645,0.8212301290798474,0.8213432353890862,0.7225267600492958,0.9322920709564152,0.860480415063134,0.8606070390700679,0.7311910896911056,0.940285261529354,0.8652325110932387,0.8652889893445269
genomic_benchmark/human_vs_worm,0.3404646128477496,0.7340662976,0.6620081248129142,0.66608,0.3344203728883823,0.7283628672,0.6579496337222488,0.6626,0.3286051136889817,0.7225496192,0.654155560317329,0.65932
genomic_benchmark/open_chromatin_region,0.0796993944846081,0.5582621081203161,0.5396894946031618,0.5398260471503776,0.186547003461629,0.6345065666619221,0.5931738228402175,0.5932421606775006,0.2379962853765252,0.6657781458098555,0.6189815422880991,0.6189917601281758
genomic_benchmark/promoter_notata_251bps,0.6260555815392992,0.8918991142700984,0.8128742737198784,0.8148107150763781,0.590611910936167,0.8788959285271317,0.79472187444,0.7974319238432588,0.5629508248415068,0.8699378139218868,0.780423684893475,0.7838166924950188
genomic_benchmark/regulatory_region_type,0.6541449150486037,0.9032178090454894,0.7748415966064206,0.7682151335054493,0.6888220116394401,0.9090436134973772,0.7815218642880835,0.7893368911683676,0.6685482247872594,0.9256097488623556,0.783195721066077,0.7785420962348171
iDHS-EL/DNase_I,0.0,0.677579365079365,0.4204545454545454,0.7254901960784313,0.0930865478273679,0.7140444015444015,0.4330170777988615,0.7287581699346405,0.0,0.7518768768768769,0.4204545454545454,0.7254901960784313
iDNA_ABF/5mC,0.8889387043792755,0.9512953818052502,0.943815385828515,0.9438521677327648,0.8904298489407309,0.9506144526703738,0.944524536466021,0.9445628997867804,0.8775516519608462,0.9531098457907669,0.9381258046465925,0.9381663113006397
iDNA_ABF/6mA,0.7530710930015428,0.9476226513458692,0.8764674017374949,0.876477004181058,0.7531418164603466,0.9457856334626868,0.8765674031951483,0.8765678967460462,0.7415033094345357,0.941950532303938,0.8707506188252754,0.8707507725868024
iPro-WAEL/Promoter_Arabidopsis_NonTATA,0.7070331121719815,0.925674078105622,0.8535132243561887,0.8535139712108383,0.7252657811613197,0.9319443683218342,0.8625283427968005,0.8625458650860852,0.7234635676127971,0.9339537927966624,0.8616922387618322,0.8616991250352808
iPro-WAEL/Promoter_Arabidopsis_TATA,0.8161477201979628,0.992145611647282,0.9011295180722892,0.9162223914699162,0.7034646148710879,0.9927526705435948,0.8277806925498425,0.8629093678598629,,,,
