dataset,mi_kmer_k4,mi_kmer_k5,mi_kmer_k6,mi_fm_NTv3_650M_pre,mi_fm_hyenadna-medium-160k-seqlen-hf
EMP/Yeast_H3,0.010168411699716,0.0044811286296782,0.0024245049002499,0.0560835523422208,0.0430943077571475
EMP/Yeast_H3K14ac,0.0019722426278493,0.0014912246490559,0.0012149550583158,0.0284908952517084,0.002971284928655
EMP/Yeast_H3K36me3,0.0029138848596369,0.0018232053888128,0.0012455183103197,0.0588173556060985,0.0054955386148208
EMP/Yeast_H3K4me1,0.0022729692114981,0.001476829362426,0.0012305986763157,0.0284897528111368,0.0045918513845609
EMP/Yeast_H3K4me2,0.0026927554610592,0.00142455072489,0.0012203878220516,0.0044223556280594,0.0102205494220997
EMP/Yeast_H3K4me3,0.0014421337135682,0.0012636744041463,0.0010779863859041,0.0070390123505161,0.002366041778283
EMP/Yeast_H3K79me3,0.0045328701051127,0.0023144557127376,0.0015023325241188,0.0690713869961671,0.0095698129081079
EMP/Yeast_H3K9ac,0.0040060501420418,0.0020447411164621,0.001376307575342,,0.0168665393418072
EMP/Yeast_H4,0.0072690788706698,0.0037930017365666,0.0022751480323387,,0.0198715138699872
EMP/Yeast_H4ac,0.0025259263929553,0.0015308301945728,0.0012199459675983,,0.0072866849877314
deep4mc/A.thaliana_4mC,,,,,
deep4mc/C.elegans_4mC,,,,,
deep4mc/D.melanogaster_4mC,,,,,
deep4mc/E.coli_4mC,0.0013845233949696,0.0012264364723477,0.0011912439677816,,0.00240904031119
deep4mc/G.pickeringii_4mC,0.0011233310908885,0.0007767585712572,0.0007160046722744,,0.0032006916164013
deep4mc/G.subterraneus_4mC,,,,,
enhancers/enhancer,0.0211364121210015,0.0085376639792003,0.0033933395014996,,0.0759708361067253
enhancers/enhancer_strength,0.0299677742712745,0.0116652743594626,0.0044461828226396,,0.0729489649254392
genomic_benchmark/coding,,,,,
genomic_benchmark/enhancer_cohn,0.0152301115622135,0.0064403385306992,0.0026500506451331,,0.0459398360152932
genomic_benchmark/enhancer_ensembl,,,,,
genomic_benchmark/human_vs_worm,,,,,
genomic_benchmark/open_chromatin_region,,,,,
genomic_benchmark/promoter_notata_251bps,0.0284406900098794,0.0117970781323998,0.0043952311528936,,0.0869697950799973
genomic_benchmark/regulatory_region_type,,,,,
iDHS-EL/DNase_I,0.0133053383416612,0.0077029520287339,0.0061606383035581,,0.0292759316475824
iDNA_ABF/5mC,0.0038223810754904,0.0029916400278193,0.0028459662771121,,0.0098184156995214
iDNA_ABF/6mA,0.0035624397422069,0.0018329504945436,0.0011891502586618,,0.016664009832562
iPro-WAEL/Promoter_Arabidopsis_NonTATA,0.0154531392568103,0.0068099780125084,0.0032078628793276,,0.0419629896120576
iPro-WAEL/Promoter_Arabidopsis_TATA,0.0157516122992841,0.0072403353579099,0.00396458314585,,0.0448977829836733
iPro-WAEL/Promoter_B_amyloliquefaciens,0.0103354360854989,0.0057862915237501,0.0045949879237506,,0.0808075246096239
iPro-WAEL/Promoter_GM12878,0.0812989375577978,0.0362984270498778,0.0152716833856052,0.127874171572575,0.098888259150025
iPro-WAEL/Promoter_HUVEC,0.0917087418513195,0.0413815979885916,0.0175037850672973,0.1452578937414025,0.116479132786888
iPro-WAEL/Promoter_Hela-S3,0.0931747616301664,0.0411519899497477,0.0175330708582656,0.1396106504650268,0.1244719205814299
iPro-WAEL/Promoter_NHEK,0.0527036343164471,0.0230074301509211,0.009338515826893,0.0785041486303346,0.0843260855266295
iPro-WAEL/Promoter_R_capsulatus,0.0029957040979694,0.0024090446788828,0.0019623692846874,0.0112495362270511,0.0078361037902245
mouse/mouse_TFBS_1,0.0033937003741521,0.0028543955560275,0.002357442301122,0.014742799131601,0.0027366203834013
mouse/mouse_TFBS_2,0.0034000272714961,0.0017348274520557,0.0010568202536577,0.0188792853773766,0.0130183797292011
mouse/mouse_TFBS_3,0.0055722222482756,0.005014231297647,0.0038172247844606,0.0702929669204116,0.0172253664591483
mouse/mouse_TFBS_4,0.0052888051414131,0.0044017997162367,0.0041818668477545,0.0152452679078946,0.0041305357069639
mouse/mouse_TFBS_5,0.0021010727029785,0.0016914931026036,0.0014716520663151,0.0041079332105936,0.0015666123319519
prom/promoter_all_300bps,0.0177182424435527,0.0058227260385984,0.002161512619318,0.0968686636015528,0.0784125963209775
prom/promoter_all_70bps,0.00602812805124,0.0022415145061578,0.0011421340023947,0.0275280808087481,0.0408312657635377
prom/promoter_notata_300bps,0.0206987074712713,0.0067720297992816,0.0024224031588216,0.1208595753889898,0.0983883880711755
prom/promoter_notata_70bps,0.0066060780534858,0.0024575715290684,0.0012205948262199,0.0315804482999796,0.0478103600490905
prom/promoter_tata_300bps,0.0051193627976862,0.0032493775178623,0.0027717510152955,0.011867803087473,0.0117431395202938
prom/promoter_tata_70bps,0.0065508525655714,0.0035918247687553,0.002756963570249,0.0199460610244756,0.0356024730688415
splice/acceptors,0.0024147590647969,0.0016811135453025,0.0014288850142711,0.0378793789396177,0.0143142302495584
splice/donors,0.0022195866753684,0.0016785602160695,0.0014329648973764,0.0364123334763811,0.013773345514498
splice/splice_site_type_DNABERT,0.0018146769094142,0.0013881198650416,0.0011683395519266,0.0308871406327579,0.0232680306227079
splice/splice_site_type_NT,0.0029165737765727,0.0020857984421849,0.0015666457261133,0.0300314930070166,0.0263023812661972
tf/Human_TFBS_1,0.004918575297987,0.0023158641087064,0.0013938295367776,0.0216888549619748,0.0206262098347975
tf/Human_TFBS_2,0.0044986631837022,0.0022218480690799,0.0014336352502073,0.0197360668076382,0.0207714308562519
tf/Human_TFBS_3,0.0038990473569548,0.0023145457229155,0.0016059102094861,0.0102723294468042,0.0126170236624836
tf/Human_TFBS_4,0.0020983016017621,0.0013392451901217,0.0012433635061733,0.0130734773949984,0.0199627570565411
tf/Human_TFBS_5,0.0048073536673901,0.0025815367971262,0.0017538119953117,0.042128694894172,0.0499620715287022
virus/covid_variants,,,,,
