dataset,group,RF_MCC,LP_MCC,embedding_type,delta_MCC,RF_wins,LP_wins
EMP/Yeast_H3,EMP,0.6599388038043943,0.6728216281960726,best_kmer,-0.012882824391678316,False,True
EMP/Yeast_H3K14ac,EMP,0.3976585207951492,0.3824947450476684,best_kmer,0.01516377574748079,True,False
EMP/Yeast_H3K36me3,EMP,0.4596250565941954,0.4263183407357774,best_kmer,0.03330671585841799,True,False
EMP/Yeast_H3K4me1,EMP,0.3697013732264936,0.3181194015526919,best_kmer,0.051581971673801685,True,False
EMP/Yeast_H3K4me2,EMP,0.2925228640029574,0.2726606010358738,best_kmer,0.0198622629670836,True,False
EMP/Yeast_H3K4me3,EMP,0.3821194250634468,0.2867279862772258,best_kmer,0.09539143878622103,True,False
EMP/Yeast_H3K79me3,EMP,0.5818747758543935,0.5672609242318832,best_kmer,0.014613851622510277,True,False
EMP/Yeast_H3K9ac,EMP,0.433886777588675,0.4254699863393736,best_kmer,0.008416791249301392,True,False
EMP/Yeast_H4,EMP,0.7081212245762214,0.7162266491464719,best_kmer,-0.008105424570250541,False,True
EMP/Yeast_H4ac,EMP,0.4288807189345976,0.3590701672044425,best_kmer,0.0698105517301551,True,False
deep4mc/A.thaliana_4mC,deep4mc,0.2021958359642879,0.231774808385439,best_kmer,-0.029578972421151123,False,True
deep4mc/C.elegans_4mC,deep4mc,0.2492864186727509,0.3054648745499289,best_kmer,-0.056178455877177985,False,True
deep4mc/D.melanogaster_4mC,deep4mc,0.2372123246116766,0.2947647962194686,best_kmer,-0.057552471607792005,False,True
deep4mc/E.coli_4mC,deep4mc,0.0,0.1414583040387055,best_kmer,-0.1414583040387055,False,True
deep4mc/G.pickeringii_4mC,deep4mc,0.0228919456076237,0.1437892073131142,best_kmer,-0.1208972617054905,False,True
deep4mc/G.subterraneus_4mC,deep4mc,0.0,0.1679716984268813,best_kmer,-0.1679716984268813,False,True
enhancers/enhancer,enhancers,0.5208746559314252,0.4763416000357052,best_kmer,0.04453305589572004,True,False
enhancers/enhancer_strength,enhancers,0.473895749303635,0.4039596733986989,best_kmer,0.06993607590493606,True,False
genomic_benchmark/coding,genomic_benchmark,0.7477382191867453,0.8040847576227689,best_kmer,-0.05634653843602355,False,True
genomic_benchmark/enhancer_cohn,genomic_benchmark,0.4082676478885972,0.4563830307915898,best_kmer,-0.04811538290299261,False,True
genomic_benchmark/enhancer_ensembl,genomic_benchmark,0.6914749372221595,0.610564421041374,best_kmer,0.08091051618078549,True,False
genomic_benchmark/human_vs_worm,genomic_benchmark,0.8805642858929225,0.9140347515306508,best_kmer,-0.033470465637728375,False,True
