group,model,n_datasets,RF_mean,LP_mean,delta_mean,RF_wins,LP_wins
EMP,Caduceus,10,0.42300891701521637,0.4505141017616709,-0.027505184746454536,0,10
EMP,DNABERT-2,10,0.3995941293888131,0.42363009169554006,-0.024035962306726825,0,10
EMP,Evo2,10,0.23094458397769965,0.2358347109788141,-0.004890127001114441,4,6
EMP,HyenaDNA,10,0.3849194449046081,0.5694955584712271,-0.18457611356661907,0,10
EMP,NTv3,10,0.5421821435445762,0.5494936507028637,-0.007311507158287517,6,4
deep4mc,Caduceus,6,0.10003340159318114,0.16626304613094584,-0.0662296445377647,0,6
deep4mc,DNABERT-2,6,0.0555623688987181,0.0604107163471285,-0.0048483474484104,2,4
deep4mc,Evo2,5,0.035439538099980836,0.045568027137597916,-0.01012848903761708,1,4
deep4mc,HyenaDNA,6,0.08875334201704717,0.24135195823858713,-0.15259861622153995,0,6
deep4mc,NTv3,6,0.11085617956446119,0.17601526718224034,-0.06515908761777917,0,6
enhancers,Caduceus,2,0.5886891164445678,0.39669641169967507,0.1919927047448927,2,0
enhancers,DNABERT-2,2,0.5102280413127982,0.35005513081467515,0.1601729104981231,2,0
enhancers,Evo2,2,0.520111869530415,0.3724836069190306,0.14762826261138445,2,0
enhancers,HyenaDNA,2,0.524884072974233,0.3848013868787916,0.14008268609544147,2,0
enhancers,NTv3,2,0.5132561111471711,0.3936277375278581,0.11962837361931294,2,0
genomic_benchmark,Caduceus,7,0.6193281299865312,0.5990075247077481,0.020320605278783117,4,3
genomic_benchmark,DNABERT-2,7,0.5717278996608303,0.557694868611807,0.01403303104902341,5,2
genomic_benchmark,Evo2,7,0.3841484856158671,0.3024422604387113,0.08170622517715577,6,1
genomic_benchmark,HyenaDNA,7,0.5674930187149833,0.6458070780338857,-0.07831405931890223,1,6
genomic_benchmark,NTv3,7,0.6396280272347373,0.6047749886099855,0.0348530386247519,7,0
iDHS-EL,Caduceus,1,0.6558064240041873,0.6434399485175759,0.012366475486611406,1,0
iDHS-EL,DNABERT-2,1,0.5232173000558866,0.5813184104508101,-0.058101110394923494,0,1
iDHS-EL,Evo2,1,0.1571954983783718,0.1263202478595772,0.030875250518794584,1,0
iDHS-EL,HyenaDNA,1,0.4862053058802824,0.6648723501960674,-0.178667044315785,0,1
iDHS-EL,NTv3,1,0.6389314857477728,0.676170759190768,-0.03723927344299516,0,1
iDNA_ABF,Caduceus,2,0.3861005977228218,0.4653990955523295,-0.07929849782950768,0,2
iDNA_ABF,DNABERT-2,2,0.27088614950092593,0.24336161861167446,0.027524530889251483,2,0
iDNA_ABF,Evo2,2,0.09568826781113055,0.133245943185209,-0.03755767537407845,0,2
iDNA_ABF,HyenaDNA,2,0.315352988717083,0.5523441811340579,-0.23699119241697492,0,2
iDNA_ABF,NTv3,2,0.4569376400796681,0.4853842215726272,-0.02844658149295909,1,1
iPro-WAEL,Caduceus,8,0.7259864398564384,0.7648620563836013,-0.03887561652716268,1,7
iPro-WAEL,DNABERT-2,8,0.6673755523657905,0.6808236576019125,-0.013448105236122134,2,6
iPro-WAEL,Evo2,8,0.5138949730425071,0.5312481397571436,-0.01735316671463649,3,5
iPro-WAEL,HyenaDNA,8,0.6894915036599099,0.7682353222868008,-0.07874381862689095,0,8
iPro-WAEL,NTv3,8,0.7793491653556696,0.7871770857335704,-0.007827920377900845,3,5
mouse,Caduceus,5,0.3690004060174109,0.5477131378784432,-0.17871273186103237,0,5
mouse,DNABERT-2,5,0.34178912511198006,0.37437681081965307,-0.032587685707673016,0,5
mouse,Evo2,5,0.18529678072181827,0.19159484171360883,-0.006298060991790607,3,2
mouse,HyenaDNA,5,0.3283920304663064,0.4946752693064994,-0.16628323884019297,0,5
mouse,NTv3,5,0.5741157000369285,0.6325130360799714,-0.058397336043042924,0,5
prom,Caduceus,6,0.623234425261351,0.6722636743847876,-0.04902924912343679,0,6
prom,DNABERT-2,6,0.5364244830405797,0.5568917189721287,-0.020467235931549005,1,5
prom,Evo2,6,0.3734265898738934,0.3518954680266848,0.021531121847208567,4,2
prom,HyenaDNA,6,0.5787426237919114,0.6411615130458634,-0.062418889253952003,0,6
prom,NTv3,6,0.6612990207016795,0.6811710779189748,-0.01987205721729531,3,3
splice,Caduceus,4,0.4338560540718669,0.42188168516607694,0.011974368905789956,3,1
splice,DNABERT-2,4,0.29831747595038655,0.27370630857876166,0.02461116737162493,4,0
splice,Evo2,4,0.1592961033038745,0.08695070488353322,0.0723453984203413,4,0
splice,HyenaDNA,4,0.37216355431769904,0.3746990012394522,-0.0025354469217531567,2,2
splice,NTv3,4,0.6623162753004044,0.6742131147401471,-0.011896839439742762,1,3
tf,Caduceus,5,0.5351476014295921,0.5166802473724091,0.018467354057182982,2,3
tf,DNABERT-2,5,0.40996674202534666,0.39665546307544675,0.013311278949899951,3,2
tf,Evo2,5,0.12444892948576043,0.06718460525717333,0.05726432422858707,3,2
tf,HyenaDNA,5,0.480329046951787,0.4909555706113613,-0.01062652365957426,1,4
tf,NTv3,5,0.5406522399699268,0.5230125552870633,0.017639684682863543,2,3
virus,Caduceus,1,0.507862678152721,0.1907638317326482,0.3170988464200728,1,0
virus,DNABERT-2,1,0.3872960777143199,0.3925083808211918,-0.0052123031068719294,0,1
virus,Evo2,1,0.2431583755163715,0.0147823213849098,0.22837605413146173,1,0
virus,HyenaDNA,1,0.5110222240348212,0.251652639387319,0.2593695846475022,1,0
virus,NTv3,1,0.447980785693265,0.4271935474670837,0.02078723822618128,1,0
