dataset,group,RF_MCC,LP_MCC,model,RF_col,LP_col,delta_MCC,RF_wins,LP_wins,tie
EMP/Yeast_H3,EMP,0.7548902158556319,0.734361723247965,NTv3,fm_NTv3_650M_pre_MCC,lp_fm_NTv3_650M_pre_MCC__pool_max,0.02052849260766687,True,False,False
EMP/Yeast_H3K14ac,EMP,0.5131740219570456,0.535919906258213,NTv3,fm_NTv3_650M_pre_MCC,lp_fm_NTv3_650M_pre_MCC__pool_max,-0.022745884301167307,False,True,False
EMP/Yeast_H3K36me3,EMP,0.5520223328286477,0.5908483387396121,NTv3,fm_NTv3_650M_pre_MCC,lp_fm_NTv3_650M_pre_MCC__pool_max,-0.03882600591096441,False,True,False
EMP/Yeast_H3K4me1,EMP,0.4579032056688147,0.5212112000138399,NTv3,fm_NTv3_650M_pre_MCC,lp_fm_NTv3_650M_pre_MCC__pool_max,-0.06330799434502521,False,True,False
EMP/Yeast_H3K4me2,EMP,0.3277396382129183,0.3019883976831594,NTv3,fm_NTv3_650M_pre_MCC,lp_fm_NTv3_650M_pre_MCC__pool_max,0.025751240529758912,True,False,False
EMP/Yeast_H3K4me3,EMP,0.3680509487028043,0.395032442861797,NTv3,fm_NTv3_650M_pre_MCC,lp_fm_NTv3_650M_pre_MCC__pool_max,-0.026981494158992703,False,True,False
EMP/Yeast_H3K79me3,EMP,0.6335808217713691,0.6282025214337492,NTv3,fm_NTv3_650M_pre_MCC,lp_fm_NTv3_650M_pre_MCC__pool_max,0.005378300337619879,True,False,False
EMP/Yeast_H3K9ac,EMP,0.5235595339824798,0.5069621627391054,NTv3,fm_NTv3_650M_pre_MCC,lp_fm_NTv3_650M_pre_MCC__pool_max,0.016597371243374348,True,False,False
EMP/Yeast_H4,EMP,0.8148623222454355,0.8122946339700711,NTv3,fm_NTv3_650M_pre_MCC,lp_fm_NTv3_650M_pre_MCC__pool_max,0.002567688275364466,True,False,False
EMP/Yeast_H4ac,EMP,0.4760383942206153,0.4681151800811253,NTv3,fm_NTv3_650M_pre_MCC,lp_fm_NTv3_650M_pre_MCC__pool_max,0.007923214139489987,True,False,False
deep4mc/A.thaliana_4mC,deep4mc,0.1919454364417682,0.2432719706958714,NTv3,fm_NTv3_650M_pre_MCC,lp_fm_NTv3_650M_pre_MCC__pool_max,-0.05132653425410319,False,True,False
deep4mc/C.elegans_4mC,deep4mc,0.1874836237704671,0.2845794025587533,NTv3,fm_NTv3_650M_pre_MCC,lp_fm_NTv3_650M_pre_MCC__pool_max,-0.09709577878828621,False,True,False
