group,kmer_size,n_datasets,RF_mean,LP_mean,delta_mean,RF_wins,LP_wins
EMP,4,10,0.43296831490259313,0.41713056154293576,0.015837753359657345,8,2
EMP,5,10,0.4476518214273478,0.42768739791423355,0.019964423513114123,8,2
EMP,6,10,0.4685664849862807,0.4417422533257855,0.026824231660495152,8,2
deep4mc,4,6,0.10959127238895838,0.15288131149454182,-0.04329003910558343,0,6
deep4mc,5,6,0.11293676383751626,0.18625917482781454,-0.0733224109902983,0,6
deep4mc,6,6,0.11157049187295363,0.2142039481555896,-0.10263345628263594,0,6
enhancers,4,2,0.49109902445251896,0.3582212198154233,0.13287780463709567,2,0
enhancers,5,2,0.4935204470659399,0.3770523724973439,0.11646807456859593,2,0
enhancers,6,2,0.4492233419078092,0.44015063671720206,0.009072705190607155,1,1
genomic_benchmark,4,7,0.667708589920864,0.5737862003577258,0.09392238956313828,5,2
genomic_benchmark,5,7,0.656813511297354,0.6048657742205418,0.05194773707681228,3,4
genomic_benchmark,6,7,0.6106791860183127,0.6299112138245956,-0.019232027806282994,2,5
iDHS-EL,4,1,0.5541318506816152,0.6493789489824234,-0.09524709830080824,0,1
iDHS-EL,5,1,0.5968101769219415,0.6095551548850041,-0.01274497796306262,0,1
iDHS-EL,6,1,0.5968101769219415,0.5532280931139303,0.04358208380801121,1,0
iDNA_ABF,4,2,0.4958839198345786,0.4598946714867319,0.0359892483478467,2,0
iDNA_ABF,5,2,0.44368771395451495,0.4543372531532591,-0.010649539198744173,1,1
iDNA_ABF,6,2,0.3885173829366614,0.44844439287136967,-0.05992700993470826,0,2
iPro-WAEL,4,8,0.7507417692101646,0.7478339829582413,0.0029077862519231792,5,3
iPro-WAEL,5,8,0.7421074168536834,0.7554626150607558,-0.013355198207072427,2,6
iPro-WAEL,6,8,0.7260505811705088,0.7510202609484695,-0.024969679777960684,1,7
mouse,4,5,0.5367152779191241,0.5272517492069871,0.00946352871213707,3,2
mouse,5,5,0.595617133889867,0.5897892675045048,0.005827866385362179,3,2
mouse,6,5,0.5865540992899918,0.6005009389365995,-0.013946839646607678,2,3
prom,4,6,0.6217753640845105,0.6081055666010659,0.013669797483444638,5,1
prom,5,6,0.5997030734633659,0.6282577199341044,-0.028554646470738392,0,6
prom,6,6,0.530944547822643,0.627663483187054,-0.09671893536441097,1,5
splice,4,4,0.37504449736235407,0.228001047626111,0.1470434497362431,4,0
splice,5,4,0.3804302304270653,0.2954913504482901,0.08493887997877514,4,0
splice,6,4,0.3698220638186155,0.34017163684796914,0.02965042697064641,3,1
tf,4,5,0.5407746531507118,0.49726939968000067,0.04350525347071117,5,0
tf,5,5,0.5311900210711323,0.526020269001594,0.005169752069538314,1,4
tf,6,5,0.5023670043719827,0.5299819177283586,-0.027614913356375857,0,5
virus,4,1,0.65530456624256,0.3308198828712216,0.32448468337133834,1,0
virus,5,1,0.6707202293146162,0.5862768553943216,0.08444337392029455,1,0
virus,6,1,0.6727182149074552,0.6937746826110441,-0.021056467703588932,0,1
