dataset,group,RF_MCC,LP_MCC,kmer_size,delta_MCC,RF_wins,LP_wins,tie
EMP/Yeast_H3,EMP,0.6502389898680512,0.6616656513308365,4,-0.01142666146278537,False,True,False
EMP/Yeast_H3K14ac,EMP,0.3633473065783845,0.3398975772725472,4,0.023449729305837275,True,False,False
EMP/Yeast_H3K36me3,EMP,0.4178110054905303,0.3984789745256728,4,0.019332030964857472,True,False,False
EMP/Yeast_H3K4me1,EMP,0.3299346521568046,0.3123472311713434,4,0.017587420985461233,True,False,False
EMP/Yeast_H3K4me2,EMP,0.2824098100137923,0.2726606010358738,4,0.009749208977918478,True,False,False
EMP/Yeast_H3K4me3,EMP,0.2671023546531975,0.2131569312592608,4,0.05394542339393668,True,False,False
EMP/Yeast_H3K79me3,EMP,0.5617634092419973,0.5522681261194585,4,0.009495283122538778,True,False,False
EMP/Yeast_H3K9ac,EMP,0.3931747751902265,0.4036702680994206,4,-0.010495492909194104,False,True,False
EMP/Yeast_H4,EMP,0.7081212245762214,0.6952969045605618,4,0.012824320015659585,True,False,False
EMP/Yeast_H4ac,EMP,0.3557796212567258,0.3218633500543824,4,0.03391627120234342,True,False,False
deep4mc/A.thaliana_4mC,deep4mc,0.1961400579652814,0.205716560847001,4,-0.0095765028817196,False,True,False
deep4mc/C.elegans_4mC,deep4mc,0.216222180831382,0.228203222514412,4,-0.011981041683029992,False,True,False
deep4mc/D.melanogaster_4mC,deep4mc,0.2289306099976899,0.2327727053230398,4,-0.0038420953253499035,False,True,False
deep4mc/E.coli_4mC,deep4mc,0.0,0.0763280304197795,4,-0.0763280304197795,False,True,False
deep4mc/G.pickeringii_4mC,deep4mc,0.0228919456076237,0.1011472711686436,4,-0.0782553255610199,False,True,False
deep4mc/G.subterraneus_4mC,deep4mc,-0.0066371600682268,0.0731200786943749,4,-0.0797572387626017,False,True,False
enhancers/enhancer,enhancers,0.5083022996014029,0.43544110754525,4,0.07286119205615293,True,False,False
enhancers/enhancer_strength,enhancers,0.473895749303635,0.2810013320855966,4,0.1928944172180384,True,False,False
genomic_benchmark/coding,genomic_benchmark,0.7477382191867453,0.7626462652477753,4,-0.014908046061030022,False,True,False
genomic_benchmark/enhancer_cohn,genomic_benchmark,0.4082676478885972,0.4531344405672391,4,-0.04486679267864191,False,True,False
