dataset,RF_MCC_mean,LP_MCC_mean,delta_mean,delta_std,delta_min,delta_max,n_models
enhancers/enhancer_strength,0.5236,0.315,0.2086,0.032,0.1756,0.2532,5
virus/covid_variants,0.4195,0.2554,0.1641,0.1465,-0.0052,0.3171,5
tf/Human_TFBS_5,0.5868,0.4458,0.141,0.0819,0.0914,0.2855,5
enhancers/enhancer,0.5393,0.4441,0.0952,0.0442,0.0392,0.1552,5
genomic_benchmark/enhancer_ensembl,0.5275,0.4459,0.0816,0.1335,-0.119,0.252,5
genomic_benchmark/regulatory_region_type,0.4942,0.4186,0.0756,0.0781,-0.0121,0.1911,5
splice/splice_site_type_DNABERT,0.2987,0.2546,0.0441,0.0744,-0.0097,0.174,5
splice/donors,0.4594,0.4316,0.0278,0.0276,-0.0129,0.059,5
genomic_benchmark/promoter_notata_251bps,0.6681,0.6444,0.0236,0.0427,-0.0469,0.0651,5
splice/acceptors,0.4615,0.4481,0.0134,0.0259,-0.02,0.0511,5
genomic_benchmark/open_chromatin_region,0.3073,0.2961,0.0112,0.0597,-0.085,0.0763,5
iPro-WAEL/Promoter_GM12878,0.8457,0.848,-0.0023,0.0162,-0.0269,0.012,5
iPro-WAEL/Promoter_HUVEC,0.8724,0.8763,-0.0038,0.0132,-0.0221,0.0107,5
prom/promoter_all_300bps,0.7085,0.7146,-0.0061,0.0443,-0.0442,0.0624,5
tf/Human_TFBS_4,0.2724,0.2804,-0.008,0.0254,-0.0358,0.0213,5
iPro-WAEL/Promoter_Hela-S3,0.8575,0.8665,-0.009,0.0167,-0.0356,0.0084,5
splice/splice_site_type_NT,0.3212,0.3309,-0.0097,0.0526,-0.0594,0.052,5
tf/Human_TFBS_2,0.4138,0.4237,-0.0099,0.0145,-0.0333,0.0037,5
prom/promoter_all_70bps,0.5051,0.5155,-0.0103,0.0301,-0.0506,0.0339,5
mouse/mouse_TFBS_2,0.6302,0.6411,-0.0108,0.0312,-0.0497,0.0357,5
tf/Human_TFBS_3,0.3736,0.3852,-0.0116,0.0225,-0.0506,0.0052,5
prom/promoter_notata_300bps,0.7891,0.801,-0.0119,0.0681,-0.0614,0.0998,5
prom/promoter_notata_70bps,0.5418,0.5552,-0.0134,0.0369,-0.0598,0.0389,5
tf/Human_TFBS_1,0.4439,0.4594,-0.0154,0.0235,-0.0518,0.0125,5
genomic_benchmark/enhancer_cohn,0.4345,0.453,-0.0185,0.0382,-0.0771,0.0199,5
iPro-WAEL/Promoter_R_capsulatus,0.2384,0.2603,-0.022,0.0558,-0.0734,0.0649,5
iPro-WAEL/Promoter_NHEK,0.714,0.7403,-0.0263,0.0163,-0.0531,-0.0113,5
EMP/Yeast_H3K4me2,0.2605,0.2875,-0.027,0.0385,-0.0818,0.0258,5
EMP/Yeast_H3,0.653,0.6825,-0.0295,0.0672,-0.1451,0.0205,5
iPro-WAEL/Promoter_B_amyloliquefaciens,0.5102,0.5447,-0.0345,0.069,-0.0906,0.0849,5
genomic_benchmark/human_vs_worm,0.7386,0.7737,-0.0351,0.083,-0.1773,0.0307,5
deep4mc/G.pickeringii_4mC,0.0477,0.083,-0.0352,0.0293,-0.0753,-0.0004,5
EMP/Yeast_H3K79me3,0.4878,0.5236,-0.0358,0.071,-0.1506,0.0367,5
EMP/Yeast_H4,0.6595,0.6958,-0.0363,0.0829,-0.1755,0.0427,5
genomic_benchmark/coding,0.7252,0.762,-0.0367,0.0704,-0.1545,0.0226,5
deep4mc/G.subterraneus_4mC,0.0129,0.053,-0.0396,0.0367,-0.0829,-0.0027,5
iDHS-EL/DNase_I,0.4923,0.5384,-0.0462,0.0824,-0.1787,0.0309,5
mouse/mouse_TFBS_3,0.5836,0.6316,-0.048,0.0554,-0.1058,0.0168,5
EMP/Yeast_H3K9ac,0.3947,0.4429,-0.0482,0.0652,-0.1568,0.0166,5
prom/promoter_tata_70bps,0.3833,0.4348,-0.0515,0.0412,-0.077,0.0208,5
EMP/Yeast_H4ac,0.3146,0.3705,-0.0559,0.0907,-0.2153,0.0079,5
deep4mc/A.thaliana_4mC,0.1248,0.1843,-0.0595,0.0673,-0.1721,0.0004,5
