dataset,mcc_kmer,mcc_fm,mcc_concat,delta_concat_vs_fm
mouse/mouse_TFBS_4,0.6676825915302869,0.4864725645678073,0.6639984413113735,0.17752587674356624
virus/covid_variants,0.6727182149074552,0.5110222240348212,0.6593794910301731,0.1483572669953519
genomic_benchmark/regulatory_region_type,0.8302014479728175,0.6277014191186208,0.7517146493923611,0.12401323027374034
mouse/mouse_TFBS_3,0.7613526697459722,0.7302262775333672,0.7551769087923121,0.024950631258944922
enhancers/enhancer,0.5326700420873823,0.5300265019876657,0.5451703923755873,0.015143890387921632
iDNA_ABF/6mA,0.5176495660077043,0.4538004517421886,0.4667382640340748,0.01293781229188623
iPro-WAEL/Promoter_B_amyloliquefaciens,0.6135288988226918,0.6289622340583804,0.641598846949209,0.012636612890828625
iPro-WAEL/Promoter_NHEK,0.7564960338958867,0.809728479210133,0.8216669356012052,0.01193845639107216
tf/Human_TFBS_3,0.5149002093064681,0.5033548376821587,0.5143909917318321,0.011036154049673397
tf/Human_TFBS_5,0.7116751234762081,0.6910601214565487,0.6996575984963845,0.008597477039835821
mouse/mouse_TFBS_5,0.396824344731457,0.3736845519231785,0.3796674949579634,0.0059829430347849155
tf/Human_TFBS_2,0.5331742322898274,0.5480737725548114,0.553846531718536,0.005772759163724661
genomic_benchmark/enhancer_cohn,0.4082676478885972,0.478123220729566,0.4833117765716842,0.005188555842118248
EMP/Yeast_H4ac,0.4288807189345976,0.4760383942206153,0.4810884912528802,0.005050097032264944
genomic_benchmark/promoter_notata_251bps,0.7835145339749172,0.7502437008896053,0.7550201296237138,0.00477642873410844
iPro-WAEL/Promoter_R_capsulatus,0.4064053451604786,0.3925980414606801,0.3969791182834767,0.004381076822796592
EMP/Yeast_H3K4me2,0.2925228640029574,0.3277396382129183,0.3309967401571642,0.003257101944245888
iPro-WAEL/Promoter_GM12878,0.8756365952097087,0.8930911452803341,0.8960002369587717,0.0029090916784376697
deep4mc/D.melanogaster_4mC,0.2434085429787509,0.2026537280551684,0.205284379835523,0.002630651780354598
prom/promoter_all_70bps,0.5596850011280262,0.5991591479862485,0.6015336703929184,0.00237452240666991
genomic_benchmark/human_vs_worm,0.8817665011120253,0.904706574338526,0.9070154267879174,0.0023088524493913853
prom/promoter_tata_300bps,0.4666421571512529,0.525089652567045,0.5271742244650167,0.002084571897971732
EMP/Yeast_H4,0.7081212245762214,0.8148623222454355,0.8166706181265103,0.001808295881074784
prom/promoter_all_300bps,0.7615961382717149,0.8163483946320028,0.8179608780056697,0.0016124833736669286
genomic_benchmark/coding,0.7477382191867453,0.8681710417900512,0.8695541265248694,0.0013830847348181852
prom/promoter_notata_300bps,0.8550715120202524,0.9082459354591892,0.907357038718506,-0.0008888967406831538
mouse/mouse_TFBS_2,0.7037870446911748,0.7824600778603458,0.7815489176924033,-0.0009111601679424597
tf/Human_TFBS_1,0.5718813178307669,0.5804360507117924,0.5794986131893493,-0.0009374375224431297
genomic_benchmark/open_chromatin_region,0.353829560892561,0.3576398843866114,0.3565257609120173,-0.0011141234745940531
prom/promoter_notata_70bps,0.6193367727750063,0.6506914089814118,0.649537181586597,-0.0011542273948147441
splice/splice_site_type_DNABERT,0.2268994143841081,0.566486674087751,0.5647790721774893,-0.0017076019102616469
iPro-WAEL/Promoter_Arabidopsis_NonTATA,0.8053905478625556,0.8707534943573685,0.8686492294103485,-0.002104264947019985
genomic_benchmark/enhancer_ensembl,0.6914749372221595,0.6245442264098119,0.6223679831971217,-0.0021762432126901654
EMP/Yeast_H3K4me1,0.3697013732264936,0.4579032056688147,0.4552087984620692,-0.0026944072067455194
deep4mc/A.thaliana_4mC,0.204710346441115,0.1919454364417682,0.1891258449471416,-0.0028195914946266
splice/splice_site_type_NT,0.2218988263621867,0.5431944651785678,0.5401781214941989,-0.003016343684368983
mouse/mouse_TFBS_1,0.5080456333865855,0.4977350282999436,0.4945770203941586,-0.0031580079057850208
splice/acceptors,0.5480017222950074,0.7699919062014157,0.7667601290868747,-0.0032317771145409235
