dataset,n_train,n_test,n_classes,class_balance,seq_len_mean,seq_len_std,seq_len_min,seq_len_max,gc_content_mean,kmer_k4_AUROC,kmer_k4_Accuracy,kmer_k4_F1,kmer_k4_MCC,kmer_k5_AUROC,kmer_k5_Accuracy,kmer_k5_F1,kmer_k5_MCC,kmer_k6_AUROC,kmer_k6_Accuracy,kmer_k6_F1,kmer_k6_MCC,kmer_multi_k4_5_6_AUROC,kmer_multi_k4_5_6_Accuracy,kmer_multi_k4_5_6_F1,kmer_multi_k4_5_6_MCC,fm_NTv3_650M_pre_AUROC,fm_NTv3_650M_pre_Accuracy,fm_NTv3_650M_pre_F1,fm_NTv3_650M_pre_MCC,fm_hyenadna-medium-160k-seqlen-hf_AUROC,fm_hyenadna-medium-160k-seqlen-hf_Accuracy,fm_hyenadna-medium-160k-seqlen-hf_F1,fm_hyenadna-medium-160k-seqlen-hf_MCC,fm_DNABERT-2-117M_AUROC,fm_DNABERT-2-117M_Accuracy,fm_DNABERT-2-117M_F1,fm_DNABERT-2-117M_MCC
EMP/Yeast_H3,10475.0,4490.0,2.0,0.9519,500.0,2.3,290.0,500.0,0.3844,0.9111213023625174,0.8251670378619154,0.8248500928187916,0.6502389898680512,0.9018959698233076,0.8160356347438753,0.8157460577126388,0.6318674532287831,0.904206670637284,0.8300668151447661,0.8298257276803328,0.6599388038043943,0.8995844748858448,0.8040089086859689,0.8027968981736853,0.6103227536309774,0.9444018264840184,0.8775055679287305,0.8774423197253198,0.7548902158556319,0.8987361524717093,0.8211581291759465,0.8203615130693754,0.6436585652697211,0.8902912447885647,0.8151447661469933,0.8150377528062227,0.6300758293706441
EMP/Yeast_H3K14ac,23133.0,9915.0,2.0,0.7606,500.0,1.6,290.0,500.0,0.3811,0.7592120191746439,0.6912758446797781,0.6619566037625517,0.3633473065783845,0.7911868390226688,0.6960161371659103,0.6526601076923235,0.3864247241018781,0.8228181115085008,0.6921835602622289,0.6330929463240547,0.3976585207951492,0.772587855594528,0.6949067070095815,0.6593329524452467,0.3760312874377186,0.8271539304438265,0.7606656580937973,0.7565575429117047,0.5131740219570456,0.7048272321997113,0.653857791225416,0.6330506375601048,0.2806214951602538,0.730884638395984,0.6776601109430156,0.6591084831505784,0.3319182135282352
EMP/Yeast_H3K36me3,24415.0,10465.0,2.0,0.8463,500.0,1.1,310.0,500.0,0.3814,0.7833218141366582,0.7122790253225035,0.7059778863145578,0.4178110054905303,0.798614503977948,0.7240324892498805,0.7149401379307431,0.4437202686165719,0.8173964585311126,0.7298614429049212,0.7177243575293998,0.4596250565941954,0.797345847623831,0.7256569517439083,0.7180766382448587,0.4460077466711748,0.8492533265542199,0.7781175346392738,0.7744692952961457,0.5520223328286477,0.7389518325453055,0.6797897754419494,0.6721059028233436,0.3510467467975927,0.7587381124611963,0.6994744386048733,0.6956704661904489,0.3925002766284089
EMP/Yeast_H3K4me1,22173.0,9504.0,2.0,0.8346,500.0,1.6,290.0,500.0,0.382,0.7277531975612456,0.67003367003367,0.6553141529098615,0.3299346521568046,0.7500860332382072,0.6778198653198653,0.6579988086176656,0.3495853630264314,0.770539620828705,0.6845538720538721,0.6595002969170674,0.3697013732264936,0.7429227281331814,0.6710858585858586,0.6490794128002471,0.3360834784283057,0.7898250404494623,0.7323232323232324,0.7279129565470994,0.4579032056688147,0.696974996339011,0.6504629629629629,0.6379919260965401,0.2883595553577951,0.7036228610002893,0.6558291245791246,0.6473818392071202,0.3004060996199626
EMP/Yeast_H3K4me2,21478.0,9205.0,2.0,0.6912,500.0,1.6,290.0,500.0,0.3818,0.7137577169921949,0.6660510592069527,0.6091953937263697,0.2824098100137923,0.731294055849013,0.666376969038566,0.5895714368119462,0.2896240365970529,0.755549929612221,0.6596414991852254,0.5522545806230188,0.2925228640029574,0.724040300507419,0.6649646931015752,0.596269725003618,0.2821750957820748,0.7369366523664174,0.6850624660510592,0.6487410067799411,0.3277396382129183,0.6829658351893575,0.6592069527430744,0.6121599322767368,0.2662537329052003,0.6737833384757972,0.645844649646931,0.5736891555606471,0.2314040008195934
EMP/Yeast_H3K4me3,25759.0,11040.0,2.0,0.8771,500.0,1.5,290.0,500.0,0.3811,0.6926387699913372,0.6355072463768116,0.6157395438851525,0.2671023546531975,0.7359162116881766,0.657608695652174,0.6317406076964759,0.3223549350506919,0.792659076464501,0.6778079710144927,0.6448959540084898,0.3821194250634468,0.7182282551077075,0.6488224637681159,0.6251746760946301,0.2997788366837894,0.7487677273351858,0.6864130434782608,0.6830092714725595,0.3680509487028043,0.647089415950433,0.6056159420289855,0.5941961016750659,0.2014711558715121,0.6477904029188586,0.6110507246376812,0.596362472319705,0.2127708709055569
EMP/Yeast_H3K79me3,20185.0,8652.0,2.0,0.8802,500.0,1.2,310.0,500.0,0.3799,0.8564056422060189,0.78166897827092,0.7786707497407847,0.5617634092419973,0.8651960768533273,0.786754507628294,0.7830605371282557,0.5733300037492575,0.8710093840037343,0.7897595931576514,0.7850023227225792,0.5818747758543935,0.8641609928050606,0.7897595931576514,0.7864879317766964,0.5788114395608704,0.8887258894415203,0.8176144244105409,0.8158955513056626,0.6335808217713691,0.820788760656934,0.7541608876560333,0.7511544101369763,0.5055766150645019,0.8241314297058177,0.7597087378640777,0.7577448580889201,0.5165480503327811
EMP/Yeast_H3K9ac,19447.0,8335.0,2.0,0.8023,500.0,1.3,290.0,500.0,0.3815,0.7775453340132585,0.7026994601079785,0.694332521974355,0.3931747751902265,0.7967826327675384,0.7107378524295141,0.6958172352419967,0.4107064961888284,0.8267735703358344,0.7160167966406719,0.6897791415995569,0.433886777588675,0.7789890872004079,0.71373725254949,0.7060838092197828,0.4160982936238021,0.839200641072339,0.7654469106178764,0.7615017604383271,0.5235595339824798,0.7546028119763968,0.6928614277144571,0.6904012549242474,0.3813980991176015,0.7602695417789758,0.6931013797240552,0.682122673111244,0.3726320654954728
EMP/Yeast_H4,10220.0,4381.0,2.0,0.7979,500.0,1.6,310.0,500.0,0.3786,0.9208357185435104,0.8561972152476603,0.8539368048578821,0.7081212245762214,0.9162434501706376,0.8436430038803926,0.8401897390223089,0.6824589891710412,0.9171234449696126,0.8418169367724264,0.8375255408839575,0.6794565339985045,0.9083435496317912,0.8379365441679981,0.8364260051577836,0.6733116005861987,0.9536631762387472,0.9082401278246977,0.9073008230045456,0.8148623222454355,0.8976217132648082,0.8274366582971924,0.8256376790353068,0.6514773204899593,0.9123965072079786,0.8440995206573841,0.8405683124257348,0.6834460272042501
EMP/Yeast_H4ac,23866.0,10229.0,2.0,0.852,500.0,1.2,290.0,500.0,0.3806,0.7459935536737419,0.6811027470916023,0.6690380565292993,0.3557796212567258,0.7715162317393269,0.693811711799785,0.6777006016534545,0.3864459445429409,0.8118127732122649,0.7082803793137159,0.6854996740352263,0.4288807189345976,0.7477980848776806,0.6752370710724411,0.6611872117162627,0.3443420839698701,0.8113439613765223,0.7401505523511585,0.7378945365280323,0.4760383942206153,0.6969012018588725,0.6448333170397889,0.6334318310107145,0.2793311630119431,0.7186015148643554,0.6664385570436993,0.6567213334041502,0.3242398599832265
